chu_lemma|orv_lemma|pos|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched
копиѥ|копие|Nb|kopьje|||||||nt_jo|2|||spear|||||orv
пробости|пробости|V-|probosti|||||probod|probod|11|1||||||||orv
ребро|ребро|Nb|rebro|||||||nt_o|2||||||||orv
испоустити|испустити|V-|jьspustiti|||||||40|1||||||||orv
катапетазма||Nb|katapetazma|||||||fem_a|2|2||veil|||καταπέτασμα||
раздьрати|роздьрати|V-|orzdьrati|||||||51_abl|1||||||||orv
нижьнь|нижьнии|A-|nižьńь|nižьnjь||||||adj_soft|2||||||||orv
распасти||V-|orspasti|||||orspad|orspad|11|1||||||||
магъдалꙑни||Nb|magъdalyńi|magъdalynji||||||fem_ji|2|25|W||||Μαγδαληνή||
иоси||Ne|ijosijь||||||||0|25|W|this word is apparently non-inflecting; translates Gk. Gsg. of 'Joseph'|||Ἰωσῆ||
ариматеꙗ||Ne|arimatejǢ||||arimatějǢ|||fem_ja|2|25|W|Arimathea |||Ἁριμαθαία||
обити#2||V-|obviti|||||||17|1|||wrap [it] up|||||
плащаница||Nb|plašћǢnika|plastjǢnika||plašћǢnica||||fem_a_PV3|2|||linen, cloth|Pol. рłаszсz 'coat' precludes a *polt- root (as in Ru. полотно 'cloth, linen'); I will reconstruct as *plašћ- instead of *plašč- on the basis of *plastъ 'layer'|1|||
исѣщи|исѣщи|V-|jьssěћi|jьssěkti||||jьssěk|jьssěk|11|1||||||||orv
възвалити|възвалити|V-|vъzvaliti|||||||40|1|||roll up to|||||orv
параскевьги||Nb|parasḱevьǵiji|||||||fem_ji|2|2|W|Friday ('preparation' as it's the day before Sabbath)|this seems always to be spelt with either <ꙉ> or <г> even though there's no /g/ in the Greek|1|Παρασκευή||
льстьць|льстьць|Nb|lьstьkь||lьstьkъ|lьstьcь||||masc_o_PV3|2||||||||orv
коустодиꙗ||Nb|kustodijǢ|||||||fem_ja|2|23||guard|||κουστωδίαν < Latin cū̆stōdia||
знаменати|знаменати|V-|znamenati|||||||54|1|||to seal up (extended from the sense 'to designate, mark, label (by putting a seal on))|||||orv
сѫботьнъ|суботьныи|A-|sǫbotьnъ|||||||adj_hard|2|35|||||Vulgar Latin *sambatum (the nasal infix is unexplained but present also in French 'samedi') < Gk. σάββᾱτον < Hebrew šabbāṯ||orv
свитати|свитати|V-|svitati|||||||54|1|||dawn, get light|||||orv
отъвалити||V-|otъvaliti|||||||40|1|||roll away|||||
зракъ|зракъ|Nb|zorkъ|||||||masc_o|2|||look, appearance|Ru. dial. зо́рок ||||orv
одѣниѥ|одѣние|Nb|oděnьje|||||||nt_jo|2|||clothes|we have 3 separate verbs одѣти, одѣяти and одѣвати, therefore both *oděnьje and *odějǢnьje are available as the deverbal noun, and both are listed in dict. p.406-7, but we should be aware of the tendency for vowel contractions and therefore we can't be entirely sure that this isn't contracted from *odějǢnьje||||orv
сътрѧсти||V-|sъtręsti|||||sъtręs|sъtręs|11|1||||||||
ѩдро||Df|jędro||||||||0|||quickly|||||
оутолити|утолити|V-|utoliti|||||||40|1|||convince, persuade|||||orv
промъкнѫти|промъкнути|V-|promъknǫti|||||||21|1|||with sę = spread around, [word] get out, became widely known|||||orv
июдеи||Nb|ijudejь||||ijudějь|||masc_jo_foreign|2|25|W|Jew|||Ἰουδαῖος||
зачѧло|зачало|Nb|začęlo|||||||nt_o|2||||||||orv
исоухристосовъ||A-|jisuxristosovъ|||||||adj_hard|2|2|||||Ἰησοῦ Χριστοῦ  ||
правъ|правыи|A-|pravъ|||||||adj_hard|2||||||||orv
стьѕа|стьза|Nb|stьga|||stьʒa||||fem_a_PV3|2|||path|||||orv
отъпоущениѥ|отъпущение|Nb|otъpušћenьje|otъpustjenьje||||||nt_jo|2|||remission, forgiveness|||||orv
иѥроусалимлꙗнинъ||Nb|ijerusalimĺǢninъ|ijerusalimjǢninъ||||||masc_anin|2|25|W||||Ἱεροσολυμίτης||
иордъданьскъ||A-|ijorъdanьskъ|||||||adj_hard|2|25|W||||Ἰορδάνου||
вельбѫждь||A-|velьbǫђь|velьbǫdjь|||velьblǫђь|||adj_soft|2|12||camel's|||Goth. ulbandus < Gk. ἐλέφαντος||
оусниꙗнъ|уснияныи|A-|usnьjǢnъ|||||||adj_hard|2|||leather||1|||orv
чрѣсла|чрѣсла|Nb|čerslo|||||||nt_o|2|||waist, loins|||||orv
акридь||Nb|akridь|||||||fem_i|2|2||locust|||ἀκρίδας||
медъ|медъ|Nb|medъ|||||||masc_u|2||||||||orv
дивии|дивии|A-|divьjь|||||||adj_soft|2||||Unlike other adjectives in *-ьj- such as *božьj-, this one seems to behave like a normal soft adjective and takes long and short form endings onto the end of its stem, which is *divьj-, for example Psalterium Sinaiticum masc. Nsg. long-form  дивьеї < *divьj-ьjь||||orv
крѣпъ||A-|krěpъ|||||||adj_hard|2||||||||
ремень|ремень|Nb|remy|||||||masc_N|2||||||||orv
чрѣвии||Nb|červьjь|||||||masc_jo|2|||shoe, sandal|||||
разводити|розводити|V-|orzvoditi|||||||40|1||||||||orv
благоволити|благоволити|V-|bolgovoliti|||||||40|1||||||||orv
четꙑрe десѧтe||Ma|40||||||||0||||||||
звѣрь|звѣрь|Nb|zvěrь|||||||masc_i|2||||beast, wild animal||||orv
каꙗти|каяти|V-|kajǢti|||||||53|1|||(with сѧ) repent, seriously regret, feel very bad about sth.|||||orv
мрѣжа||Nb|meržǢ|||||||fem_ja|2|||net|||||
рꙑбарь||Nb|rybaŕь|rybarjь||||||masc_ar|2|||fisherman|||||
ловьць|ловьць|Nb|lovьkь||lovьkъ|lovьcь||||masc_o_PV3|2|||fisher, capturer, hunter|||||orv
алъдии||Nb|oldьji|||||||fem_ji|2|||boat, ship|||||
завѧзати||V-|zavęzati|||||||54|1|||fix a net (i.e. by tying stuff together)|||||
възъвати|възъвати|V-|vъzъvati|||||||51_abl|1||||||||orv
зеведеи||Ne|zevedejь||||zevedějь|||masc_jo_foreign|2|25|W||||Ζεβεδαῖος||
наимьникъ|наимьникъ|Nb|najьmьnikъ|||||||masc_o|2||||||||orv
оужаснѫти|ужаснути|V-|užǢsnǫti|||||||21|1||||||||orv
велѣти|велѣти|V-|velěti|||||||31|1||||||||orv
симоновъ|симоновъ|A-|simonovъ|||||||adj_hard|2|25|||||Σίμωνα||orv
аньдреовъ||A-|anьdrejovъ||anьdrejevъ||anьdrějovъ|||adj_hard|2|25|W||||Ἀνδρέαν||
заходити|заходити|V-|zaxoditi|||||||40|1||||||||orv
различьнъ|различьныи|A-|orzličьnъ|||||||adj_hard|2||||||||orv
пробрѣзгъ||Nb|probrězgъ|||||||masc_o|2|||dawn|Pol. brzask confirms originality of jat’||||
гънати|гънати|V-|gъnati|||||||51_abl|1||||||||orv
проносити|проносити|V-|pronositi|||||||40|1||||||||orv
отъвьсѫдѣ||Df|otъvьxǫdě|||otъvьśǫdě|||||0||||||||
покровъ|покровъ|Nb|pokrovъ|||||||masc_o|2|||roof, shelter, patronage|||||orv
прокопати|прокопати|V-|prokopati|||||||54|1|||dig [a hole] through|||||orv
съвѣсити|съвѣсити|V-|sъvěsiti|||||||40|1|||hinabhängen|||||orv
сълежати|сълежати|V-|sъležǢti|||||||31|1||||||||orv
мимогрѧсти||V-|mimogręsti|||||mimogręd|mimogręd|11|1||||||||
левьгии||Ne|levьǵьji|||||||masc_ji|2|25|W|||1|Λευίς||
балии||Nb|balьji|||||||masc_ji|2|||doctor, healer|ESSJa 01 p.50 discusses the possibility of *badl- here, based on Old Czech agent nouns seemingly formed with the suffix -dlí. This would mean though that бальство 'medicine' was back-formed from the agent-noun, i.e. 'doctor stuff'.||||
ѥликъ||Pr|jelikъ|||||||pron_hard|2|||what kind of, all kind of, which[ever], [oh] how much|||||
просадити||V-|prosaditi|||||||40|1||||||||
лиꙗти|лияти|V-|lьjǢti|||||||53_abl|1||||||||orv
авиатаръ||Ne|avijǢtaŕь|avijǢtarjь||||||masc_jo|2|25|W||||Ἀβιαθὰρ <  אֶבְיָתָר‎ ’Evyatar||
назирати|назирати|V-|nazirati|||||||54|1|||watch after, watch over, follow|||||orv
окаменѥниѥ||Nb|okameńenьje|okamenjenьje||||||nt_jo|2||||||||
идоумѣꙗ||Ne|idumějǢ|||||||fem_ja|2|25|||||Ἰδουμαίας||
мъножьство|мъножьство|Nb|mъnožьstvo|||||||nt_o|2||||||||orv
ладиица||Nb|oldьjika|||oldьjica||||fem_a_PV3|2||||I'm taking this as the fem-ji-stem *oldьj-i (ладии) with the *ika (ица) suffix stuck onto the end of its *oldьj- stem||||
сътѫжати|сътужати|V-|sъtǫžǢti|||||||54|1|||oppress, persecute, torment|||||orv
нападати|нападати|V-|napadati|||||||54|1||||||||orv
рана|рана|Nb|rana|||||||fem_a|2||||||||orv
припадати|припадати|V-|pripadati|||||||54|1||||||||orv
прѣтити|прѣтити|V-|pertiti|||||||40|1|||threaten, admonish, order around|||||orv
воаниръгесъ||Ne|voanirъǵesъ||||||||0|25|W|Hebrew or something for 'sons of thunder' or some shit|||Βοανηργές||
громовъ||A-|gromovъ|||||||adj_hard|2|||of thunder|||||
неистовъ|неистовыи|A-|nejьstovъ|||||||adj_hard|2||||||||orv
низъити||V-|nizъjьti|||||||jьti|1||||||||
власвимисати||V-|vlasvimisati|||||||54|1|2|||||βλασφημεῖ||
глашати||V-|golšǢti|||||||54|1||||||||
съглѧдати|съглядати|V-|sъględati|||||||54|1||||||||orv
окрьстъ||Df|okrьstъ||||||||0|12||around, in the surrounding area|cf. Ru. окрест; essja 13 p.76 says the *krьstъ root (assuming that such is the basis of the preposition) was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist')||||
каменьнъ|каменьныи|A-|kamenьnъ|||||||adj_hard|2|||stoney|||||orv
приплодити|приплодити|V-|priploditi|||||||40|1||||||||orv
врѣменьнъ|врѣменьныи|A-|vermenьnъ|||||||adj_hard|2||||||||orv
богатьствиѥ||Nb|bogatьstvьje|||||||nt_jo|2||||||||
плодити|плодити|V-|ploditi|||||||40|1||||||||orv
спѫдъ|спудъ|Nb|spǫdъ|||||||masc_o|2|||bushel|||||orv
свѣщьникъ||Nb|svěћьnikъ|světjьnikъ||||||masc_o|2|||candlestick, lampstand|||||
потаити|потаити|V-|potajiti|||||||40|1|||hide, conceal|||||orv
авлѥниѥ|явление|Nb|avĺenьje|avjenьje||||||nt_jo|2||||||||orv
намѣрити||V-|naměriti|||||||40|1||||||||
прозѧбати||V-|prozębati|||||||54|1|||sprout, come up|||||
съзьрѣти||V-|sъzьrěti|||||||31|1||||||||
срьпъ|сьрпъ|Nb|sŕ̥pъ|||||||masc_o|2|||scythe|Ru. серп||||orv
настоꙗти|настояти|V-|nastojǢti|||||||31|1||||||||orv
сѣнь#2|сѣнь|Nb|sěnь|||||||fem_i|2|||tent|||||orv
вѣтрьнъ||A-|větrьnъ|||||||adj_hard|2||||||||
погрѧзнѫти|погрязнути|V-|pogręznǫti|||||||21|1|||sink|||||orv
кръма|кърма|Nb|kr̥ma|||||||fem_a|2|||food, feed; manger|||||orv
възглавьница||Nb|vъzgolvьnika|||vъzgolvьnica||||fem_a_PV3|2|||pillow?|||||
оустати|устати|V-|ustati|||||||stati|1||||||||orv
оулещи||V-|uleћi|ulegti|||||uleg|infix_11|1||||||||
възбоꙗти||V-|vъzbojǢti|||||||31|1||||||||
гадариньскъ||A-|gadarinьskъ|||||||adj_hard|2|25|W||||Γαδαρηνω̃ν < גדרה‏ .||
желѣзнъ||A-|želěznъ|||||||adj_hard|2||||||||
ѫже|уже|Nb|ǫže|||||||nt_jo|2|||rope, line; (in pl.) shackles, chains|This is presumably a variant of the root *ǫžь (> Pol. wąż 'snake') that Derksen 2008 p.388 reconstructs||||orv
пѫта||Nb|pǫto|||||||nt_o|2|||shackles, binds, fetters|||||
прѣтръѕати|прѣтьрзати|V-|pertŕ̥gati|||pertŕ̥ʒati||||54|1||||||||orv
съкроушати|съкрушати|V-|sъkrušǢti|||||||54|1||||||||orv
оумѫчити|умучити|V-|umǫčiti|||||||40|1|||subjugate, subdue, humble;; exhaust, wear out (for example by torturing)|||||orv
кромѣ|кромѣ|R-|kromě||||||||0||||||||orv
съмꙑслити|съмыслити|V-|sъmysliti|||||||40|1||||||||orv
декаполь||Ne|dekapoĺь|dekapoljь|||dekapolějь|||masc_jo|2|2|W||||Δεκαπόλεως||
архисѵнагогъ||Nb|arъx́isünagogъ|||||||masc_o|2|2|W|head of the synagogue, synagogue ruler|||ἀρχισυνάγωγος||
иаиръ||Ne|iajirъ|||||||masc_o|2|25|W||We can't reconstruct *ijǢjirъ because this is never spelt with a jat', so I'm forced to make up a nonsensical *iajirъ.||Ἰάϊρος||
оугнѣтати|угнѣтати|V-|ugnětati|||||ugněta|ugnětaj|54|1||||this must be a lengthened ē-grade derivative (for imperfectivisation) of the root *-gnet- found in гнести||||orv
точениѥ||Nb|točenьje|||||||nt_jo|2||||||||
иждити||V-|jьžǯiti|||||jьžǯi|jьžǯiv|11|1||||pre-PV1 *jьz-giti, with regular *zgi > žǯi (ordinarily > *jьz + žiti)||||
понѣ||Df|poně||||||||0|||at least|||||
источьникъ|источьникъ|Nb|jьstočьnikъ|||||||masc_o|2||||||||orv
цѣлѣти||V-|kělěti|||cělěti||kělě|kělěj|32|1|||to heal (intransitive/middle voice), get better, recover|||||
озирати|озирати|V-|ozirati|||||||54|1||||||||orv
трепетати|трепетати|V-|trepetati|||||||52|1||||||||orv
припасти||V-|pripasti|||||pripad|pripad|11|1||||||||
двиѕати|двизати|V-|dvigati|||dviʒati||||52|1||||||||orv
архисѵнагоговъ||A-|arъx́isünagogovъ|||||||adj_hard|2|2|W|head of the synagogue's, synagogue ruler's|||ἀρχισυνάγωγου||
кричати|кричати|V-|kričǢti|||||||31|1||||||||orv
отроковица||Nb|otrokovika|||otrokovica||||fem_a_PV3|2|||girl, child|||||
талиѳакоумъ||F-|talitakumъ||||||||0|5|W|get up, little girl (Aramaic)|||Ταλιθὰ κούμ||
оужасъ|ужасъ|Nb|užǢsъ|||||||masc_o|2||||||||orv
тектонъ||Nb|tekъtonъ|||||||masc_o|2|2||carpenter|||τέκτων||
мариинъ||A-|marijinъ|||||||adj_hard|2|25|W|Mary's|||Μαριὰμ||
отьчьство|отьчьство|Nb|otьčьstvo|||||||nt_o|2||||||||orv
рождениѥ|рожение|Nb|roђenьje|rodjenьje||||||nt_jo|2||||||||orv
недѫжьникъ||Nb|nedǫžьnikъ|||||||masc_o|2||||||||
объходити|объходити|V-|obъxoditi|||||||40|1||||||||orv
пира||Nb|pira|||||||fem_a|2|2||bag, knapsack|||πήρα||
обоути|обути|V-|obuti|||||||čuti|1||||||||orv
санъдалиꙗ||Nb|sanъdalьjǢ|||||||fem_ja|2|2|W||||σανδάλια||
облачити|облачити|V-|obvolčiti|||||||40|1|||dress, array, put clothes on|||||orv
прѣбꙑвати|прѣбывати|V-|perbyvati|||||||54|1||||||||orv
содоми||Nb|sodomъ|||||||masc_o|2|25||Sodomites|||Σοδόμοις||
гоморꙗне||Ne|gomoŕǢninъ|gomorjǢninъ||||||masc_anin|2|25||Gomorrah-dwellers|it's very difficult to tell in Glagolitic mss. with foreign words ending on /r, l, n/ whether the 'citizen' suffix is *-jǢninъ or *-ěninъ; Russian славянин must be a later assimilation of *slověninъ to a generalised /-anin/ suffix after the rise of /v'/ and *Ǣ > /a/, because there's no epenthetic /ĺ/, so we should perhaps take *-ěninъ as the base suffix which regularly became *-Ǣninъ when a /j/ intervened, as in *gorђǢninъ etc.||Γομόρροις||
мазати|мазати|V-|mazati|||||||52|1|||smear|||||orv
ицѣлꙗти|исцѣляти|V-|jьskěĺǢti|jьskěljǢti||jьscěĺǢti||||54|1||||||||orv
гнѣвати|гнѣвати|V-|gněvati|||||||54|1||||||||orv
сласть|сласть|Nb|solstь|||||||fem_i|2|||good-tasting sweet food; enjoyment, pleasure|must be from *sold-stь the same way власть is from *vold-stь||||orv
приключити|приключити|V-|prikĺučiti|priključiti||||||40|1|||happen, occur;; show up, appear|||||orv
потрѣбьнъ|потрѣбьныи|A-|poterbьnъ|||||||adj_hard|2||||||||orv
тꙑсѧщьникъ||Nb|tysǫћьnikъ|tysǫtjьnikъ||||||masc_o|2|||thousandman, chiliarch (a centurion but for 1000 men)|||||
старѣишина|старѣишина|Nb|starějьšina|||||||masc_a|2|||elders, leaders|||||orv
тъщаниѥ|тъщание|Nb|tъščǢnьje|||||||nt_jo|2|||haste|I’ll assume this contains the *tъšč- ‘empty’ root and means something like ‘empy/exhaust oneself of effort in striving to hurry’||||orv
блюдо|блюдо|Nb|bĺudo|bjudo||||||nt_o|2||||||||orv
отърещи||V-|otъreћi|otъrekti||||otъrьk|otъrek|11|1||||||||
почити|почити|V-|počiti|||||||17|1|||rest|||||orv
коли|коли|Df|koli||||||||0||||||||orv
притещи|притещи|V-|priteћi|pritekti||||pritek|pritek|11|1|||come running|||||orv
милъ|милыи|A-|milъ|||||||adj_hard|2|||endearing, sympathy-inducing|||||orv
окрьстьнь|окрьстьнии|A-|okrьstьńь|okrьstьnjь||||||adj_soft|2|12||surrounding|cf. Ru. окрест; essja 13 p.76 says the *krьstъ root (assuming that such is the basis of the preposition) was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist')||||orv
посадити|посадити|V-|posaditi|||||||40|1||||||||orv
сподъ||Nb|spodъ|||||||masc_o|2|||na spody = in groups|||||
зеленъ|зеленыи|A-|zelenъ|||||||adj_hard|2|||green|||||orv
лѣха||Nb|lěxa|||||||fem_a|2|||row, strip of land (Derksen p.272)|||||
полагати|полагати|V-|polagati|||||||54|1||||||||orv
гребениѥ||Nb|grebenьje|||||||nt_jo|2|||rowing|||||
стражь|стражь|Nb|storžь|||||||masc_jo|2||||||||orv
нощьнъ|ночьныи|A-|noћьnъ|noktьnъ||||||adj_hard|2||||||||orv
непьщевати|непъщевати|V-|nepъћevati|nepъtjevati||||||62|1||||Vasmer reconstructs a root *pъtj, which is supported by his 'др.-польск. niереć «серьезность, опасность»', but this would mean the Old Russian forms adduced (непьщевати, непьщую) would be Church Slavonicisms. The OCS spellings (5/16 with back-jer) aren't a reliable indicator of the original jer, and nor are the Old Russian ones if they are pure literary forms; if OPol. niереć is a direct cognate then this is good evidence for a back-jer, so in the absence of any better evidence I will contradict the dictionary and reconstruct a back jer.|1|||orv
възмѧсти|възмясти|V-|vъzmęsti|||||vъzmęt|vъzmęt|11|1||||||||orv
окаменити||V-|okameniti|||||||40|1|||turn to stone|||||
пристати|пристати|V-|pristati|||||||stati|1||||||||orv
прѣтещи||V-|perteћi|pertekti||||pertek|pertek|11|1||||||||
прикасати|прикасати|V-|prikasati|||||||54|1|||(refl. + loc.) touch|||||orv
сирѣчь|сирѣчь|Df|sirěčь||||||||0|||то есть, c'est-a-dire, i.e.|literally 'this thing/word/utterance'||||orv
зазьрѣти|зазьрѣти|V-|zazьrěti|||||||31|1||||||||orv
трьти||V-|tŕ̥ti|||||||rti|1||||||||
покѫпати|покупати|V-|pokǫpati|||||||52|1|||wash, bathe|||||orv
чьванъ||Nb|čьbanъ|||||||masc_o|2|||mug|This is according to Vasmer the source of Pol. dzban, Cz. džbán, Ru. жбан, Ukr. джбан, збан, чобан, Bulg. жбан, and many others, so I'm reconstructing it with a *b, but it's almost certainly a loanword that was probably borrowed at various times around the break-up of Slavic unity, hence the raznoobrazie in the modern forms. No-one seems to have any clue about its provenance.|1|||
котьлъ|котьлъ|Nb|kotьlъ|||||||masc_o|2|1||cauldron|this is a direct cognate of English 'kettle', Germ. Kessel, as it is a Gothic loanword (Gothic 'katils')||Gothic 'katils'||orv
кромѣ||Df|kromě||||||||0||||||||
отъметати||V-|otъmetati|||||||iskati|1||||||||
корванъ||Nb|korъvanъ|||||||masc_o|2|25|W||related to Arabic qurbān 'sacrifice, offering', in e.g. Kazakh құрбан айт 'Eid'||Κορβᾶν < Hebrew קָרְבָּן or Aramaic קורבנא||
отъвьнѣѭдоу||R-|otъvъnějǫdu||||||||0||||cf. Bg. навсякъде, the variant ⱗⰴⱆ, ⱗⰴⱑ is in Pol. wszędzie, and the *ǫd- root is in Ru. куда, туда, сюда etc.||||
оскврьнити|осквьрнити|V-|oskvŕ̥niti|||||||40|1|||defile, profane|||||orv
неразоумивъ||A-|neorzumivъ|||||||adj_hard|2||||||||
извъноу|извъну|Df|jьzvъnu||||||||0|||from outside, from without|||||orv
истрѣблꙗти||V-|jьsterbĺǢti|jьsterbjǢti||||||54|1||||there's apparently a Rus. verb теребить and Old Rus. тереба||||
изѫтрьѭдоу||Df|jьzǫtrьjǫdu||||||||0|||from inside, from within|||||
обида|обида|Nb|obida|||||||fem_a|2|||injustice, damage, insult|||||orv
стоудодѣꙗниѥ||Nb|studodějǢnьje|||||||nt_jo|2|||lechery, profligacy, debauchery, degeneracy (shame-doing)|||||
гръдꙑни|гърдыни|Nb|gr̥dyńi|gr̥dynji||||||fem_ji|2|||pride, arrogance|||||orv
изѫтри||Df|jьzǫtri||||||||0|||from inside, from within|||||
поганꙑни||Nb|poganyńi|poganynji||||||fem_ji|2|3||woman heathen|||||
сѵрофѵникиссанꙑни||Nb|sürofüniḱissanyńi|sürofüniḱissanynji||||||fem_ji|2|2|W|Syrian Phoenician|||Συροφοινίκισσα||
дѣтьскъ|дѣтьскыи|A-|dětьskъ|||||||adj_hard|2||||||||orv
домови|домови|Df|domovi||||||||0|||домой|||||orv
декапольскъ||A-|dekapolьskъ|||||||adj_hard|2|2|W||||Δεκαπόλεως||
гѫгънивъ||A-|gǫgъnivъ|||||||adj_hard|2|||babbling, unable to talk properly|Vasmer gives one Gk. translation (cognate?) as γογγύζω, so possibly a loan, but the root has descendants of the back nasal in most of the modern languages: 'укр. гугни́ти «гнусавить», блр. гугну́ць, болг. гъгни́в, словен. gȏgnjáti, чеш. huhňati, польск. gęgać «гнусавить, гоготать»'|1|||
въздъхнѫти|въздъхнути|V-|vъzdъxnǫti|||||||21|1||||||||orv
разврѣсти|разврѣсти|V-|orzversti|||||orzvŕ̥z|orzverz|14|1||||||||orv
ѫза|уза|Nb|ǫza|||||||fem_a|2|||fetter, shackle|||||orv
ѥликоже|еликоже|Dq|jelikože||||||||0||||||||orv
прѣизлиха|прѣизлиха|Df|per+jьzlixa||||||||0|||excessively, over the top|||||orv
прѣдълагати|прѣдълагати|V-|perdъlagati|||||||54|1|||place before, serve, offer up|||||orv
дальманоуфаньскъ||A-|dalъmanufanьskъ|||||||adj_hard|2|25|W||||Δαλμανουθά||
испльнѥниѥ|испълнение|Nb|jьspĺ̥ńenьje|jьspĺ̥njenьje||||||nt_jo|2||||||||orv
оутворити|утворити|V-|utvoriti|||||||40|1||||||||orv
свѣтьло|свѣтьло|Df|světьlo||||||||0|||brightly, light, clear|||||orv
искоусити|искусити|V-|jьskusiti|||||||40|1||||||||orv
обиновати||V-|obvinovati|||||||61|1||||||||
постꙑдѣти|постыдѣти|V-|postyděti|||||||31|1|||(refl.) be ashamed (of = +GEN)|||||orv
льщати||V-|lьšћǢti|lьstjǢti||||||31|1|||sparkle, glisten|||||
ꙗкъ||Pr|akъ|||||||pron_hard|2||||||||
гнафеи||Nb|gnafejь|||||||masc_jo|2|2||launderer|||γναφεὺς||
оубѣлити||V-|uběliti|||||||40|1|||make white, whiten|||||
скинии||Nb|sḱinьji|||||||fem_ji|2|2|W|tent, marquee, dwelling|||σκηνή ||
пристрашьнъ||A-|pristrašьnъ|||||||adj_hard|2||||||||
осѣнꙗти|осѣняти|V-|osěńǢti|osěnjǢti||||||54|1|||shade, cover with shade|||||orv
вънезаапѫ|вънезаапу|Df|vъnezaapǫ||||||||0||||vъ ne za apǫ; attest also are вънезаꙗпѫ (Old Rus.) and вънезаѣпѫ; Vasmer reconstructs the root of the *apa word with no original /j/|1|||orv
оуничьжити||V-|uničьžiti|||||||40|1||||||||
приристати|приристати|V-|priristati|||||||52|1|||прибегать|||||orv
разбивати|разбивати|V-|orzbivati|||||||54|1||||||||orv
пѣна|пѣна|Nb|pěna|||||||fem_a|2|||foam|||||orv
тѣщити||V-|těћiti|||||||40|1|||froth at the mouth|my only guess is that this is some lengthened-grade derivative of *tekti|1|||
скрьжьтати||V-|skrьžьtati|||||||52|1|||gnash|||||
оцѣпѣнѣти||V-|okěpeněti|||ocěpeněti||||32|1|||freeze, become rigid, turn to stone|neither Ukr. ціпеніти nor Cz. cepenět have jat' reflex for the second syllable; this may be dissimilation, but the OCS spellings may also be assimilation|1|||
валꙗти|валяти|V-|vaĺǢti|valjǢti||||||54|1||||||||orv
отънѥлиже||Dq|otъńeliže|otъnjeliže|||||||0|||since|||||
отрочина||Nb|otročina|||||||fem_a|2|||childhood, youth|||||
сльза|сльза|Nb|slьza|||||||fem_a|2|||tear|||||orv
невѣрьствиѥ|невѣрьствие|Nb|nevěrьstvьje|||||||nt_jo|2|||unbelief, lack of faith|||||orv
съристати||V-|sъristati|||||||52|1|||come running down, gather|||||
прѫжати|пружати|V-|prǫžǢti|||||||54|1|||(refl.) convulse, jerk about|||||orv
гласити|гласити|V-|golsiti|||||||40|1||||||||orv
старъ|старыи|A-|starъ|||||||adj_hard|2||||||||orv
възбранити|възборонити|V-|vъzborniti|||||||40|1||||||||orv
послѣдовати|послѣдовати|V-|poslědovati|||||||61|1||||||||orv
въскорѣ|въскорѣ|Df|vъskorě||||||||0||||||||orv
обложити|обложити|V-|obložiti|||||||40|1|||put/place around; surround with; cover over|||||orv
жрьнъвьнъ||A-|žŕ̥nъvьnъ|||||||adj_hard|2|||millstone-|||||
маломощь||Nb|malomoћь|malomogtь||||||fem_i|2|||cripple|||||
негасѧ||A-|negasati|||||||52|1|||unextinguishable|||||
оумирати|умирати|V-|umirati|||||||54|1||||||||orv
истъкнѫти||V-|jьstъknǫti|||||||21|1||||||||
осолити|осолити|V-|osoliti|||||||40|1||||||||orv
соль|соль|Nb|solь|||||||fem_i|2||||||||orv
сланъ|солоныи|A-|solnъ|||||||adj_hard|2|||salty, salted|Ukr. соло́ний, Pol. słony||||orv
посагнѫти||V-|posagnǫti|||||||21|1|||get married (woman)|Vasmer relates this to the *sęg- root and adduces among others Old Prussian sagis 'buckle' in support of its Indo-Europeanness||||
благословлꙗти|благословляти|V-|bolgoslovĺǢti|bolgoslovjǢti||||||54|1||||||||orv
наслѣдьствовати||V-|naslědьstvovati|||||||61|1||||||||
лъгати|лъгати|V-|lъgati|||||||52|1||||||||orv
недоконьчати||V-|nedokonьčǢti|||||||54|1||||||||
дрѧхлъ|дряхлыи|A-|dręxlъ|||||||adj_hard|2|||gloomy, sullen|ESSJa 5 p.112-3 reconstructs three roots *dręx(ъ)lъ (> Ru. дряхлый), *dręsьlъ and *dręselъ. The OR form дроухлъ is adduced as a possible o-grade ablaut alernant. Zogr. has дрѧселъ for the Marianus attestations||||orv
изгънаниѥ|изгънание|Nb|jьzgъnanьje|||||||nt_jo|2||||||||orv
власти||V-|volsti|||||vold|vold|11|1||||direct cognate of Eng. 'wield'? (yes)||||
иѥриха||Ne|ijerixa|||||||fem_a|2|25|W||||Ἰεριχώ||
тимеовъ||A-|timejovъ|||||||adj_hard|2|25|W||||Τιμαίου||
вартимеи||Ne|varъtimejь|||||||masc_jo_foreign|2|25|W||||Βαρτιμαῖος||
хлѫпати||V-|xlǫpati|||||||54|1|||beg, be a beggar|||||
раввоуни||Nb|ravvuni||||||||0|5|W|some Aramaic diminutive form of 'Rabbi'|||Ραββουνι||
жрѣбьць|жеребьць|Nb|žerbьkь||žerbьkъ|žerbьcь||||masc_o_PV3|2|||foal; baby donkey|||||orv
