chu_lemma|orv_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|bitflag
похризмити||V-|2|poxrizmiti|||||||40|1|2||smear with ointment, apply myrrh|||χρῖσμα ||0||||marianus|||||zogr_complete|264
авва||Nb|2|avъva||||||||0|5|W|Aramaic for 'father'|||Ἀββᾶ < Aramaic  אבא‎/ܐܒܐ‎ (abbā)||0||||marianus|||||zogr_complete|264
съхраньно||Df|2|sъxornьno||||||||0|||safely|||||0||||marianus|||||zogr_complete|264
рѫкотворѥнъ||A-|2|rǫkotvoŕenъ|rǫkotvorjenъ||||||adj_hard|2||||||||0||||marianus|||||zogr_complete|264
нерѫкотворѥнъ||A-|2|nerǫkotvoŕenъ|nerǫkotvorjenъ||||||adj_hard|2||||||||0||||marianus|||||zogr_complete|264
прѣдъдвориѥ||Nb|2|perdъdvorьje|||||||nt_jo|2|||front [court]yard|||||0||||marianus|||||zogr_complete|264
ковьникъ||Nb|2|kovьnikъ|||||||masc_o|2|||conspirator|||||0||||marianus|||||zogr_complete|264
прѣгꙑбати||V-|2|pergybati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
кѵринѣнинъ||Ne|2|ḱüriněninъ|||||||masc_anin|2|2|W|||1|Κυρηναῖον||0||||marianus|||||zogr_complete|264
роуфовъ||A-|2|rufovъ|||||||adj_hard|2|23|W||||Ῥούφου||0||||marianus|||||zogr_complete|264
али||C-|2|ali||||||||0||||||||0||||marianus|||||zogr_complete|264
благообразьнъ||A-|2|bolgoobrazьnъ|||||||adj_hard|2|||highly esteemed, noble, well-regarded|||||0||||marianus|||||zogr_complete|264
привалити||V-|2|privaliti|||||||40|1||||||||0||||marianus|||||zogr_complete|264
вьсѫдѣ||Df|2|vьxǫdě|||vьśǫdě|||||0||||||||0||||marianus||supr_y_fixed||||40
извѣстовати||V-|2|jьzvěstovati|||||||61|1||||||||0||||marianus||supr_y_fixed||||40
авиань||A-|2|avijǢńь|avijǢnjь||||||adj_soft|2|25|W||||Ἀβιά||0||||marianus|||||zogr_complete|264
покадити||V-|2|pokaditi|||||||40|1|||burn incense|||||0||||marianus|||||zogr_complete|264
величити||V-|2|veličiti|||||||40|1||||||||0||||marianus|||||zogr_complete|264
богатити||V-|2|bogatiti|||||||40|1||||||||0||||marianus|||||zogr_complete|264
дъщица||Nb|2|dъščika|||dъščica||||fem_a_PV3|2|||tablet|||||0||||marianus|||||zogr_complete|264
прѣподобиѥ||Nb|2|perpodobьje|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
авгостъ||Ne|2|avъgustъ|||||||masc_o|2|3|W||||augustus||0||||marianus|||||zogr_complete|264
кѵринии||Ne|2|ḱürinijь|||||||masc_jo|2|2|W||||Κυρήνιος||0||||marianus|||||zogr_complete|264
назаретьскъ||A-|2|nazaretьskъ|||||||adj_hard|2|25|W||||Ναζαρέθ||0||||marianus|||||zogr_complete|264
разврьзати||V-|2|orzvŕ̥zati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
кагръличищь||Nb|2|kagr̥dličiščь|||||||masc_jo|2|||turtle-dove|||||0||||marianus|||||zogr_complete|264
голѫбинъ||A-|2|golǫbinъ|||||||adj_hard|2|||pigeon's, dove's|||||0||||marianus|||||zogr_complete|264
прѣрочьнъ||A-|2|perročьnъ|||||||adj_hard|2||||||||0||||marianus|||||zogr_complete|264
фаноуилѥвъ||A-|2|fanuiĺevъ|fanuiljevъ||||||adj_hard|2|25|W||||Φανουήλ||0||||marianus|||||zogr_complete|264
трахонитьскъ||A-|2|traxonitьskъ|||||||adj_hard|2|2|||||Τραχωνίτιδος||0||||marianus|||||zogr_complete|264
лѵсании||Ne|2|lüsanijь|||||||masc_jo|2|2|W||||Λυσανίας||0||||marianus|||||zogr_complete|264
авилиниꙗ||Ne|2|avilinijǢ|||||||fem_ja|2|2|W||||Ἀβιληνή||0||||marianus|||||zogr_complete|264
стръпътьнъ||A-|2|strъpъtьnъ|||||||adj_hard|2|||crooked, bent|Ru.ChSl. has стропотный which would seem to confirm the jers|1|||0||||marianus|||||zogr_complete|264
оброкъ||Nb|2|obrokъ|||||||masc_o|2|||pay, compensation|||||0||||marianus|||||zogr_complete|264
четврьтовластьникъ||Nb|2|četvŕ̥tovolstьnikъ|||||||masc_o|2|||tetrarch|||||0||||marianus|||||zogr_complete|264
илиѥвъ||A-|2|||||||||99||||||||0||||marianus|||||zogr_complete|264
ианнѣѥвъ||A-|2|||||||||99||||||||0||||marianus|||||zogr_complete|264
маттатиѥвъ||A-|2|||||||||99||||||||0||||marianus||||||8
иоарамовъ||A-|2|||||||||99||||||||0||||marianus||||||8
иѥсеовъ||A-|2|||||||||99||||||||0||||marianus|||vit-const|||72
въспитѣти||V-|2|vъspitěti|||||||32|1|||nurture, bring up (by feeding), raise (livestock etc.)|||||0||||marianus|psal-sin_sentence_removed|||||24
разгънѫти||V-|2|orzgъnǫti|||||||22|1|||unroll|||||0||||marianus|psal-sin_sentence_removed|||||24
низъринѫти||V-|2|nizъrinǫti|||||||22|1|||throw down, chuck down, overthrow|||||0||||marianus|||||zogr_complete|264
рꙑбитвъ||Nb|2|rybitvъ|||||||masc_o|2|||fisherman|||||0||||marianus|||vit-const|||72
плакати#2||V-|2|plakati|||||||52|1|||wash, cleanse|||||0||||marianus|||||zogr_complete|264
протрьѕати||V-|2|protŕ̥gati|||protŕ̥ʒati||||54|1|||tear, tear [a hole] through] rip|||||0||||marianus|||||zogr_complete|264
извести#2||V-|2|jьzvesti|||||jьzvez|jьzvez|11|1||||||||0||||marianus|||||zogr_complete|264
прокажениѥ||Nb|2|prokaženьje|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
низъвѣсити||V-|2|nizъvěsiti|||||||40|1|||hang [sth.] down, dangle|||||0||||marianus|||||zogr_complete|264
чрѣждениѥ||Nb|2|čerђenьje|čerdjenьje||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
въторопрьвъ||A-|2|vъtoropŕ̥vъ|||||||adj_hard|2||||||||0||||marianus|||||zogr_complete|264
въстрьѕати||V-|2|vъstŕ̥gati|||||||54|1|||tear off, pluck|||||0||||marianus|||||zogr_complete|264
назьрѣти||V-|2|nazьrěti|||||||31|1||||||||0||||marianus|psal-sin_sentence_removed|||||24
зилотъ||Ne|2|zilotъ|||||||masc_o|2|2|||||ζηλωτὴς||0||||marianus|||||zogr_complete|264
прѣдатель||Nb|2|perdateĺь|perdateljь||||||masc_tel|2||||||||0||||marianus|||||zogr_complete|264
въздрꙑдати||V-|2|vъzrydati|||||||54|1||||||||0||||marianus||||||8
невъзблагодатьнъ||A-|2|nevъzbolgodatьnъ|||||||adj_hard|2||||||||0||||marianus|||||zogr_complete|264
натъкати||V-|2|natъkati|||||||51|1||||||||0||||marianus|||||zogr_complete|264
потрѫсьнъ||A-|2|potrǫsьnъ|||||||adj_hard|2||||Ukr. землетрус||||0||||marianus|||||zogr_complete|264
прѣлиꙗти||V-|2|perlьjǢti|||||||54|1|||spill over the edge|||||0||||marianus|||||zogr_complete|264
наводиѥ||Nb|2|navodьje|||||||nt_jo|2|||flood|||||0||||marianus|||||zogr_complete|264
приразити||V-|2|priraziti|||||||40|1||||||||0||||marianus|||||zogr_complete|264
наинъ||Ne|2|najinъ|||||||masc_o|2|25|W||||Ναΐν||0||||marianus|||||zogr_complete|264
приглашати||V-|2|prigolšǢti|||||||54|1||||||||0||||marianus|||||zogr_complete|264
мѵра||Nb|2|müra|||||||fem_a|2|25|W|Myrrh|||μύρον||0||||marianus||||||8
мьньшьми||Df|2|mьńьšьmi|mьnjьšьmi|||||||0||||||||0||||marianus|||||zogr_complete|264
сътократицеѭ||Df|2|sъtokortikejǫ||sъtokortikojǫ|sъtokorticejǫ|||||0||||||||0||||marianus|||vit-const|||72
подълагати||V-|2|podъlagati|||||||54|1||||||||0||||marianus||supr_y_fixed||||40
вльнѥниѥ||Nb|2|vĺ̥ńenьje|vĺ̥njenьje||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
оутѣщати||V-|2|utěščǢti|||||||54|1|||press up against, crowd around|must be a lengthened e-grade variant of the *tisk- root (Pol. ciskać, Ukr. утиск etc.)||||0||||marianus|||||zogr_complete|264
гнести||V-|2|gnesti|||||gnet|gnet|11|1||||||||0||||marianus|||||zogr_complete|264
четврьтовластьць||Nb|2|četvŕ̥tovolstьkь||četvŕ̥tovolstьkъ|četvŕ̥tovolstьcь||||masc_o_PV3|2|||tetrarch|||||0||||marianus|||||zogr_complete|264
недомꙑшлꙗти||V-|2|nedomyšĺǢti|nedomysljǢti||||||54|1||||||||0||||marianus|||||zogr_complete|264
отѧгъчити||V-|2|otęgъčiti|||||||40|1|||weigh down, burden, make heavy|||||0||||marianus|||||zogr_complete|264
отътрѧсати||V-|2|otъtręsati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
ѥлѣ||Df|2|jelě||||||||0|||hardly, barely|||||0||||marianus|||||zogr_complete|264
приключаи||Nb|2|prikĺučǢjь|priključǢjь||||||masc_jo|2|||accident, (по +) by coincidence, as it happens|||||0||||marianus|||||zogr_complete|264
гостиница||Nb|2|gostinika|||gostinica||||fem_a_PV3|2||||||||0||||marianus|||||zogr_complete|264
гостиньникъ||Nb|2|gostinьnikъ|||||||masc_o|2|||inn-keeper|||||0||||marianus|||||zogr_complete|264
прииждити||V-|2|prijьžǯiti|||||prijьžǯi|prijьžǯiv|11|1|||spend money, cost [you] a bit of money|||||0||||marianus|||||zogr_complete|264
безочьство||Nb|2|bezočьstvo|||||||nt_o|2|||shamelessness, heedlessness|||||0||||marianus|||||zogr_complete|264
ниневьгитъ||Nb|2|ninevьǵitъ|||||||masc_o|2|25|W|Nineveh|||Νινευῖτης||0||||marianus|||||zogr_complete|264
прьвѣе||R-|2|pŕ̥věje||||||||0||||||||0||||marianus|||||zogr_complete|264
пиганъ||Nb|2|piganъ|||||||masc_o|2|2||rue? some herb|||πήγανον||0||||marianus|||||zogr_complete|264
накладати||V-|2|nakladati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
таилище||Nb|2|tajьlišče|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
соулѣи||A-|2|sulъ|||||||adj_hard|2|||(only as comparative) better|||||0||||marianus|||||zogr_complete|264
богатѣти||V-|2|bogatěti|||||||32|1||||||||0||||marianus|||||zogr_complete|264
ветъшати||V-|2|vetъšǢti|||||||54|1|||get old|adj. *vetъxъ is cognate with Latin vetus||||0||||marianus|||||zogr_complete|264
скѫдѣти||V-|2|skǫděti|||||||32|1|||lack, want, fail|my opinion is that this is cogante with Dano-English 'scant', though wiktionary thinks that the /t/ is the norse nt. adj. ending||||0||||marianus|||||zogr_complete|264
житомѣрѥниѥ||Nb|2|žitoměŕenьje|žitoměrjenьje||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
оупивати||V-|2|upivati|||||||54|1|||(refl.) get pissed|||||0||||marianus|||||zogr_complete|264
тръхъть||Nb|2|trъxъtь|||||||masc_i|2|||lepton (low-value Ancient coin)|Vasmer links it with Pol. trocha etc., so I will assume reduced-grade *trъx- root|1|||0||||marianus|||||zogr_complete|264
винарь||Nb|2|vinaŕь|vinarjь||||||masc_ar|2||||||||0||||marianus|||||zogr_complete|264
опражнꙗти||V-|2|oporžńǢti|oporznjǢti||||||54|1||||||||0||||marianus|||||zogr_complete|264
окопати||V-|2|okopati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
осꙑпати||V-|2|osypati|||||||52|1||||||||0||||marianus|||||zogr_complete|264
сълѫкъ||A-|2|sъlǫkъ|||||||adj_hard|2|||bent, crooked, hunchback|||||0||||marianus|||||zogr_complete|264
въкꙑсѣти||V-|2|vъkysěti|||||||32|1|||ferment, go sour|||||0||||marianus|||||zogr_complete|264
шьстиѥ||Nb|2|šьstvьje|||||||nt_jo|2|||journey, travels|||||0||||marianus||supr_y_fixed||||40
трѫдъ||Nb|2|trǫdъ|||||||masc_o|2|||illness, (vodьnъ +) dropsy|Pol. trąd 'leprosy' (Derksen)||||0||||marianus||supr_y_fixed||||40
посѣсти||V-|2|posěsti||||||posěd|infix_11|1||||||||0||||marianus|||||zogr_complete|264
отърицати||V-|2|otъrikati|||otъricati||||54|1||||||||0||||marianus|||||zogr_complete|264
отрочьнъ||A-|2|otročьnъ|||||||adj_hard|2||||||||0||||marianus||||||8
воловьнъ||A-|2|volovьnъ|||||||adj_hard|2|||of oxen|||||0||||marianus|||||zogr_complete|264
халѫга||Nb|2|xalǫga|||||||fem_a|2|||hedge, fence||1|||0||||marianus|||||zogr_complete|264
ращисти||V-|2|orščisti|||||||ьt|1||||||||0||||marianus|||||zogr_complete|264
доволъ||Nb|2|dovolъ|||||||masc_o|2||||||||0||||marianus|||||zogr_complete|264
дроуга||Nb|2|druga|||||||fem_a|2||||||||0||||marianus|||||zogr_complete|264
сѫсѣдꙑни||Nb|2|sǫsědyńi|sǫsědynji||||||fem_ji|2||||||||0||||marianus|||||zogr_complete|264
блѫдьно||Df|2|blǫdьno||||||||0||||Pol. błędny||||0||||marianus|||||zogr_complete|264
рожьць||Nb|2|rožьkь||rožьkъ|rožьcь||||masc_o_PV3|2|||husk|||||0||||marianus|||||zogr_complete|264
прьстень||Nb|2|pŕ̥sty|||||||masc_N|2|||ring|||||0||||marianus|||||zogr_complete|264
козьлѧ||Nb|2|kozьlę|||||||nt_NT|2|||kid (goat-child)|||||0||||marianus|||||zogr_complete|264
питомъ||A-|2|pitomъ|||||||adj_hard|2|||fattened up|||||0||||marianus|||||zogr_complete|264
домовьнъ||A-|2|domovьnъ|||||||adj_hard|2|||of the household/estate|||||0||||marianus|||||zogr_complete|264
строѥниѥ||Nb|2|strojenьje|||||||nt_jo|2||||||||0||||marianus||||||8
икономъ||Nb|2|ikonomъ|||||||masc_o|2|2||manager|||οἰκονόμος||0||||marianus|||||zogr_complete|264
мѫдрѣ||Df|2|mǫdrě||||||||0||||||||0||||marianus|||||zogr_complete|264
мамонинъ||A-|2|mamoninъ|||||||adj_hard|2|25|||||μαμωνᾶς < מָמוֹנָא‎ (māmōnā)||0||||marianus|||||zogr_complete|264
сьребролюбьць||Nb|2|sьrebroĺubьkь|sьrebroljubьkь|sьrebroĺubьkъ|sьrebroĺubьcь||||masc_o_PV3|2||||||||0||||marianus|||||zogr_complete|264
поръфѵра||Nb|2|porъfüra|||||||fem_a|2|2|W||||πορφύραν||0||||marianus|||||zogr_complete|264
вѵссонъ||Nb|2|vüsъsonъ|||||||masc_o|2|2|W||||βύσσον||0||||marianus|||||zogr_complete|264
гноинъ||A-|2|gnojьnъ|||||||adj_hard|2|||covered in sores|||||0||||marianus|||||zogr_complete|264
облизати||V-|2|oblizati|||||||52|1|||lick|||||0||||marianus|||||zogr_complete|264
оустоудити||V-|2|ustuditi|||||||40|1|||cool|||||0||||marianus|||||zogr_complete|264
възмагати||V-|2|vъzmagati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
сѵкамина||Nb|2|sükamina|||||||fem_a|2|2|W|mulberry bush|||συκαμίνος||0||||marianus|||||zogr_complete|264
въздьрати||V-|2|vъzdьrati|||||||51_abl|1||||||||0||||marianus|||||zogr_complete|264
орати||V-|2|orati|||||||52|1|||plough|||||0||||marianus|||||zogr_complete|264
вечерꙗти||V-|2|večeŕǢti|večerjǢti||||||54|1||||||||0||||marianus|||||zogr_complete|264
саждати||V-|2|saђǢti|sadjǢti||||||54|1||||||||0||||marianus|||||zogr_complete|264
застоꙗти||V-|2|zastojǢti|||||||31|1|||annoy, wear out with bothersomeness|||||0||||marianus|||||zogr_complete|264
оуничьжати||V-|2|uničьžǢti|||||||54|1||||||||0||||marianus|||||zogr_complete|264
сѵкомариꙗ||Nb|2|sükomorijǢ|||||||fem_ja|2|2|W|fig-tree|||συκομορέα||0||||marianus|||||zogr_complete|264
придѣлати||V-|2|pridělati|||||||54|1||||||||0||||marianus|||||zogr_complete|264
прѣмьнь||A-|2|prěmьńь|prěmьnjь||||||adj_soft|2|||opposite, which is located opposite|according to Vasmer Serbian has both према and прама, OCS only has прѣмо (never with palatalisation diacritic), so the only explanation for the ESl. reflexes of the front-nasal (прямой etc., Old Russian прѧмо) is either contamination with Vasmer's posited *pramъ or (in my opinion more likely) nasalisation of the vowel caused by the following /m/, i.e. *prěmo > *prę̌mo > *pręmo > *prämo > /pr'amo/|1|||0||||marianus|||||zogr_complete|264
низъхождениѥ||Nb|2|nizъxoђenьje|nizъxodjenьje||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
осѣсти||V-|2|osěsti||||||osěd|infix_11|1||||||||0||||marianus|psal-sin_sentence_removed|||||24
състати||V-|2|sъstati|||||||stati|1||||||||0||||marianus|||||zogr_complete|264
нестроѥниѥ||Nb|2|nestrojenьje|||||||nt_jo|2|||discord, disorder|||||0||||marianus|||||zogr_complete|264
страхованиѥ||Nb|2|straxovanьje|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
прошибати||V-|2|prošibati|||||||54|1|||sprout|||||0||||marianus|||||zogr_complete|264
обѣданиѥ||Nb|2|obědanьje|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
желѣниѥ||Nb|2|želěnьje|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
вечерꙗниѥ||Nb|2|večeŕǢnьje|večerjǢnьje||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
врьжениѥ||Nb|2|vŕ̥ženьje|||||||nt_jo|2||||||||0||||marianus|||||zogr_complete|264
отърѣзати||V-|2|otъrězati|||||||52|1||||||||0||||marianus|||||zogr_complete|264
посѫдити||V-|2|posǫditi|||||||40|1||||||||0||||marianus|||||zogr_complete|264
кѵринѣи||Nb|2|ḱürinějь|||||||masc_jo|2|2|W||||Κυρηναῖον||0||||marianus|||||zogr_complete|264
сꙑръ||A-|2|syrъ|||||||adj_hard|2||||||||0||||marianus|||||zogr_complete|264
прѣломлѥниѥ||Nb|2|perlomĺenьje|perlomjenьje||||||nt_jo|2||||||||0||||marianus||supr_y_fixed||||40
сънѣдьнъ||A-|2|sъnědьnъ|||||||adj_hard|2|||edible|||||0||||marianus||||||8
бъчела||Nb|2|bъčela|||||||fem_a|2|||bee|||||0||||marianus|psal-sin_sentence_removed|||||24
кифа||Ne|2|ḱifa|||||||masc_a|2|25|W||||Κηφᾶς < כֵּיפָא‎ .||0||||marianus|||||zogr_complete|264
тачаи||A-|2|tačǢjь|||||||adj_soft|2|||worse|||||0||||marianus|||||zogr_complete|264
бичь||Nb|2|bičь|||||||masc_jo|2|||whip|||||0||||marianus||supr_y_fixed||||40
врьвь||Nb|2|vŕ̥vь|||||||fem_i|2||||||||0||||marianus||supr_y_fixed||||40
жениховъ||A-|2|ženixovъ|||||||adj_hard|2|||groom’s|||||0||||marianus||||||8
самарѣнꙑни||Nb|2|samarěnyńi|samarěnynji||||||fem_ji|2|25||woman-Samaritan|it's very difficult to tell with foreign words ending on /r, l, n/ whether the 'citizen' suffix is *-jǢninъ or *-ěninъ; Russian славянин must be a later assimilation of *slověninъ to a generalised *-aninъ suffix after the rise of /v'/, because there's no epenthetic /ĺ/, so *-ěninъ must have been the base suffix which became *-Ǣninъ when a /j/ intervened, as in *gorђǢninъ etc.||||0||||marianus||||||8
тъгдажде||Df|2|tъgъdaђe|tъgъdadje|||||||0||||||||0||||marianus||supr_y_fixed||||40
тивериꙗдьскъ||A-|2|tiverijǢdьskъ|||||||adj_hard|2|25|W||||Τιβεριάδος < טְבֶרְיָה‎ .||0||||marianus||||||8
ѩчьнъ||A-|2|jęčьnъ|||||||adj_hard|2|||barley|||||0||||marianus||||||8
тивериꙗ||Ne|2|tiverijǢda|||||||fem_a|2|25|W||||Τιβεριάδος < טְבֶרְיָה‎ .||0||||marianus|||||zogr_complete|264
пиво||Nb|2|pivo|||||||nt_o|2||||||||0||||marianus|||vit-const|||72
расѣꙗниѥ||Nb|2|orssějǢnьje|||||||nt_jo|2||||||||0||||marianus|psal-sin_sentence_removed|||||24
инѫдоу||Df|2|jьnǫdu||||||||0|||elsewhere, another way|||||0||||marianus||supr_y_fixed||||40
богъ||Pd|2|bogъ|||||||masc_o|2||||||||0||||marianus||supr_y_fixed||||40
близньць||Ne|2|bliznьkь||bliznьkъ|bliznьcь||||masc_o_PV3|2||||||||0||||marianus||||||8
литра||Nb|2|litra|||||||fem_a|2|2||small silver coin|||λίτρα||0||||marianus||||||8
скриница||Nb|2|skrinika|||skrinica||||fem_a_PV3|2|13||moneybox, (small) treasure chest|||OHG skrīni < Latin scrīnium (>Eng. shrine)||0||||marianus||||||8
финикъ||Nb|2|finikъ||||finikъsъ|||masc_o|2|2|W|palm tree|||φοινίκων, φοῖνῐξ||0||||marianus|psal-sin_sentence_removed|||||24
чѧдьце||Nb|2|čędьke||čędьko|čędьce||||nt_o_PV3|2||||||||0||||marianus||supr_y_fixed||||40
отрѣбити||V-|2|oterbiti|||||||40|1||||there's apparently a Rus. verb теребить and Old Rus. тереба||||0||||marianus||supr_y_fixed||||40
тьсть||Nb|2|tьstь|||||||masc_i|2|||father-in-law|||||0||||marianus|||||zogr_complete|264
грьчьскꙑ||Df|2|grьčьsky||||||||0|32||in Greek (fossilised Ipl.)|||||0||||marianus||||vit-meth_4_removed||136
латиньскꙑ||Df|2|latinьsky||||||||0|3||in Latin (fossilised Ipl.)|||||0||||marianus||||vit-meth_4_removed||136
хитонъ||Nb|2|x́itonъ|||||||masc_o|2|2|W|tunic|||χιτών||0||||marianus||||||8
шьвенъ||A-|2|šьvenъ|||||||adj_hard|2||||the /v/ here is proof that the root-vowel of the word was originally ECS *u (*sju, cognate to Goth. siujan) so it conguated like *kryti instead of *piti; only via Umlaut did the root-vocalism front to /i, ь/, but by then the PPP *sjuwen- had been phonologised as /sjuven-/, as opposed to /bijen-/ from *biti||||0||||marianus||supr_y_fixed||||40
истъкати||V-|2|jьstъkati|||||||51|1||||||||0||||marianus||supr_y_fixed||||40
клеоповъ||A-|2|klejopovъ|||||||adj_hard|2|2|W||||Κλεοπᾶς||0||||marianus||supr_y_fixed||||40
ѵсопъ||Nb|2|üsopъ|||||||masc_o|2|2|W||||ὕσσωπος ||0||||marianus|psal-sin_sentence_removed|||||24
съвити||V-|2|sъviti|||||||17|1||||||||0||||marianus|psal-sin_sentence_removed|||||24
доунѫти||V-|2|dunǫti|||||||22|1||||||||0||||marianus||supr_y_fixed||||40
близньць||Nb|2|bliznьkь||bliznьkъ|bliznьcь||||masc_o_PV3|2||||||||0||||marianus||supr_y_fixed||||40
абеселоумъ||Ne|2|||||||||99||||||||0|||||psal-sin_sentence_removed|||||16
лъживъ||A-|2|lъživъ|||||||adj_hard|2||||||||0|||||psal-sin_sentence_removed|||||16
оутроудити||V-|2|utruditi|||||||40|1||||||||0|||||psal-sin_sentence_removed|||||16
оумочити||V-|2|umočiti|||||||40|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
оустꙑдѣти||V-|2|ustyděti|||||||31|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
изрꙑти||V-|2|jьzryti|||||||18|1||||||||0|||||psal-sin_sentence_removed|||||16
прѣвꙑше||Df|2|pervyše||||||||0||||||||0|||||psal-sin_sentence_removed|||||16
посѣщати||V-|2|posěћǢti|posětjǢti||||||54|1||||||||0|||||psal-sin_sentence_removed|||||16
гꙑбнѫти||V-|2|gybnǫti|||||||21|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
оугльбнѫти||V-|2|uglьbnǫti|||||||21|1||||Ukr. глибокий and Belar.  глыбо́кі suggest a form besides *glǫbokъ with a TRЪТ group, but only the OCS PAP Оуглебъ is evidence of a front-jer||||0|||||psal-sin_sentence_removed|||||16
гръдость||Nb|2|gr̥dostь|||||||fem_i|2||||||||0|||||psal-sin_sentence_removed||vit-const|||80
оскврьнꙗти||V-|2|oskvŕ̥ńǢti|oskvŕ̥njǢti||||||54|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
прѣсѣдѣти||V-|2|persěděti|||||||31|1||||||||0|||||psal-sin_sentence_removed|||||16
съмотрꙗти||V-|2|sъmotŕǢti|sъmotrjǢti||||||54|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
вѣжда||Nb|2|věђǢ|vědjǢ||||||fem_ja|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
растьлѣти||V-|2|orstьlěti|||||||32|1||||||||0|||||psal-sin_sentence_removed|||||16
омразити||V-|2|omorziti|||||||40|1||||||||0|||||psal-sin_sentence_removed|||||16
мꙑто||Nb|2|myto|||||||nt_o|2|1|||This is most likely a Gothic loanword because the /t/ in Goth. mōta 'custom house, toll booth' would be /d/ in Slavic, but problems arise when considering the OHG mūta > NHG Maut, as we would expect PGmc. /ō/ here to go /uo/ > NHG /ū/. Kluge 1891 thinks it likely that the OHG is a post 2SS Gothic loan, but gives MHG muoze with the same meaning which would be a perfect cognate to the Gothic. Other Gothic loans into Slavic have Goth. /ō/ > CS *u (Go. dōms > CS *duma), so if this word is also from Gothic it would've had to have been borrowed at a much earlier time, before the monophthongisation of diphthongs, when CS *y was still ECS *ū. || Goth. mōta||0|||||psal-sin_sentence_removed|||||16
зѣница||Nb|2|zěnika|||zěnica||||fem_a_PV3|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
отълѣкъ||Nb|2|otъlěkъ|||||||masc_o|2||||||||0|||||psal-sin_sentence_removed|||||16
саоуловъ||A-|2|saulovъ|||||||adj_hard|2|25|W||||Σαούλ||0|||||psal-sin_sentence_removed|||||16
възгрьмѣти||V-|2|vъzgrьměti|||||||31|1||||Ru. греметь and Cz. hřmít would appear to confirm the front-jer||||0|||||psal-sin_sentence_removed|||||16
озълоблѥниѥ||Nb|2|ozъlobĺenьje|ozъlobjenьje||||||nt_jo|2||||||||0|||||psal-sin_sentence_removed|||||16
стръпътивъ||A-|2|strъpъtivъ|||||||adj_hard|2||||Ru.ChSl. has стропотный which would seem to confirm the jers||||0|||||psal-sin_sentence_removed|||||16
прѣлѣсти||V-|2|perlěsti|||||perlěz|perlěz|11|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
плесно||Nb|2|plesno|||||||nt_o|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
брьньнъ||A-|2|bŕ̥nьnъ|||||||adj_hard|2|||made of mud|Vasmer says that some bloke found loads of бьрние spellings in the Ukr. Izbornik 1073 and the Archangelsk Evangelie,, and so he prefers *bŕ̥nьje, and thinks that Ru. брение is a literary borrowing from the OCS spelling||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
погладити||V-|2|pogladiti|||||||40|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
гнѣвьнъ||A-|2|gněvьnъ|||||||adj_hard|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
възвеличати||V-|2|vъzveličǢti|||||||54|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
оумѫдрꙗти||V-|2|umǫdŕǢti||umǫђŕǢti|||||54|1||||strictly speaking *drj should always become /ђŕ/, and the dict. says оумѫждрѣти сѧ occurs in Euch., so the Psal. forms are actually deviances/innovations of the Zogr. вьзл҄юбиши type||||0|||||psal-sin_sentence_removed|||||16
грѣхъпаданиѥ||Nb|2|grěxъpadanьje|||||||nt_jo|2||||||||0|||||psal-sin_sentence_removed|||||16
инорожь||A-|2|jьnorožь|||||||adj_soft|2|||unicorn’s|||||0|||||psal-sin_sentence_removed|||||16
