1975,<wb>протівѫ
650,<wb>томоу
2889 74 648,<wb>трьпѣ|лі|въіі
7184 648,<wb>тъшті|въіі
68,<wb>на
1335,<wb>мілость
77,<wb>а
741 6804,<wb>поз|дьнъ
68,<wb>на
3109,<wb>гнѣвъ
1026 2292,<wb>тръ|пітъ
7156 349 118 4627,<wb>вьзбѣ|сь|нѣ|въшіімъ
370 910,<wb>цѣ|літъ
4267 1471,<wb>отъвѣ|томъ
3299 183 5968,<wb>обѧ|шт|реніе
7367 102 11,<wb>попі|на|е
979 297,<wb>піса|ніѣ
1669 4944 514,<wb>прѣдь|ізво|дітъ
6477,<wb>съвѣдѣтельства
7141,<wb>творѧштіімъ
77,<wb>а
62,<wb>не
4014 2875,<wb>отъме|штетъ
70,<wb>сѧ
860 170,<wb>въпро|са
1347,<wb>тѣмь
141,<wb>рече
1770,<wb>ніколіже
178,<wb>лі
364,<wb>мене
2680,<wb>слъішасте
6523,<wb>пророкомь
3507,<wb>глаголѫшта
916,<wb>тогда
3276,<wb>разоумѣете
99,<wb>ѣко
290,<wb>азъ
568,<wb>есмъ
7453,<wb>глаголѧі
3116 137,<wb>прішъ|лъ
122,<wb>ні
178,<wb>лі
404,<wb>пакъі
168,<wb>із
1409,<wb>оустъ
2035 805,<wb>съсѫ|штііхъ
3717 604,<wb>младені|штъ
6661,<wb>съвръшілъ
313,<wb>есі
1643,<wb>хвалѫ
1682,<wb>врагъ
865,<wb>твоіхъ
368,<wb>раді
4864 116,<wb>раздроуші|ші
4699,<wb>врага
39,<wb>і
318 214 875,<wb>мь|сть|ніка
295,<wb>еже
939,<wb>есте
237,<wb>въі
227,<wb>іже
1384,<wb>законъ
109 495 91,<wb>ч|тѫ|ште
39,<wb>і
4575,<wb>вѣдѫште
39,<wb>і
5193,<wb>пророкъі
109 495 91,<wb>ч|тѫ|ште
364,<wb>мене
56,<wb>въ
2504,<wb>законѣ
39,<wb>і
643 1131,<wb>проро|цѣхъ
1111 6418,<wb>проповѣда|емааго
6295 242,<wb>ослоуша|сте
70,<wb>сѧ
51 1508,<wb>м|ніте
112,<wb>бо
222,<wb>оубо
6302 125 2823,<wb>пронъі|рь|ствомъ
3478 297,<wb>въздръжа|ніѣ
6302 5150,<wb>пронъі|ріті
1253,<wb>славѫ
5957,<wb>божіѭ
62,<wb>не
479 393,<wb>разоумѣ|ѭште
99,<wb>ѣко
227,<wb>іже
70,<wb>сѧ
364,<wb>мене
4359 3648,<wb>ослоу|шаетъ
39,<wb>і
1858,<wb>отьца
70,<wb>сѧ
6295 11,<wb>ослоуша|е
290,<wb>азъ
112,<wb>бо
84,<wb>отъ
530,<wb>бога
496 3245,<wb>ізі|дохъ
39,<wb>і
655 3245,<wb>вьні|дохъ
56,<wb>въ
688,<wb>міръ
39,<wb>і
556,<wb>моѣ
974,<wb>слава
1858,<wb>отьца
563,<wb>моего
161,<wb>естъ
974,<wb>слава
1503 4706,<wb>облі|ченіі
71,<wb>же
931,<wb>сіце
7160 2385 401,<wb>неразоумь|нічь|нъіі
3488,<wb>съпаса
1051,<wb>нашего
5863,<wb>богомь
5225 153 4122,<wb>прѣм|ль|кошѧ
84,<wb>отъ
945 96 297,<wb>пь|рѣ|ніѣ
3120 687,<wb>затворе|номъ
4460,<wb>бъівъшемъ
5392,<wb>оустомъ
299,<wb>іхъ
399 1080,<wb>істі|ноѭ
1944,<wb>іні
71,<wb>же
67 511 6343 340,<wb>по|тръ|гнѫ|въше
2104 3933,<wb>безоу|міѣ
6169,<wb>съмъіслъ
3959,<wb>сьвѣтъ
68,<wb>на
484,<wb>нь
5080,<wb>творѣахѫ
478,<wb>мъі
71,<wb>же
4123,<wb>поімъ
2844,<wb>веліі
775,<wb>господь
1480,<wb>нашъ
39,<wb>і
3492,<wb>веліѣ
4125,<wb>крѣпость
135,<wb>его
39,<wb>і
406 88,<wb>разоу|моу
135,<wb>его
595,<wb>нѣстъ
6392,<wb>чісла
159,<wb>сі
112,<wb>бо
1514,<wb>вьса
821,<wb>бъішѧ
105,<wb>да
84 3023 509,<wb>отъ|немь|ѧі
1772,<wb>грѣхъ
1829,<wb>міроу
4389 446,<wb>агнь|цъ
39,<wb>і
423,<wb>снъ
1872,<wb>божіі
3659,<wb>волеѭ
68,<wb>на
3432 349 602,<wb>сьпа|сь|нѫѭ
3263,<wb>страсть
75,<wb>съ
1805,<wb>вамі
786,<wb>прідетъ
39,<wb>і
68,<wb>на
1541 276,<wb>прода|ніі
5523,<wb>станетъ
1053 463 2276,<wb>іскоу|поу|ѭштааго
603 5057 1080,<wb>жіво|творь|ноѭ
2414 3,<wb>кръвь|ѭ
2379,<wb>своеѭ
688,<wb>міръ
190 259 1371,<wb>сь|цѣ|нѧтъ
882 55,<wb>трь|мъ
811 106,<wb>десѧте|мь
353 188 60 446,<wb>мѣ|дь|ні|цъ
39,<wb>і
2762,<wb>пасха
3160,<wb>наша
525 2194,<wb>зако|ленъ
362,<wb>бѫдетъ
7107 60,<wb>господ|ні
171,<wb>за
336,<wb>нъі
1461,<wb>хс
105,<wb>да
227,<wb>іже
1388 1080,<wb>чьсть|ноѭ
135,<wb>его
4459 3,<wb>кръві|ѭ
1298 117 243 123,<wb>пок|ро|пі|мі
39,<wb>і
1409 139,<wb>оустъ|нъі
699,<wb>акъі
307 253,<wb>пра|гъі
6780 2221 393,<wb>назна|мена|ѭште
2631 1832,<wb>оубѣ|жѧтъ
6254 470 2276,<wb>прокоу|жда|ѭштааго
2669 33,<wb>орѫжі|ѣ
39,<wb>і
931,<wb>сіце
3206 648,<wb>пострада|въіі
1461,<wb>хс
39,<wb>і
421,<wb>въста
56,<wb>въ
2301,<wb>третіі
644,<wb>дьнь
75,<wb>съ
221 1699,<wb>от|цемь
39,<wb>і
75,<wb>съ
837 133 16 204,<wb>свѧ|ть|і|імъ
2972,<wb>доухомь
2199,<wb>коупно
81,<wb>вь
2236,<wb>славѣ
39,<wb>і
2186,<wb>чьсті
1514,<wb>вьса
4039,<wb>тварь
144,<wb>емоу
1298 66 846,<wb>пок|ла|нітъ
70,<wb>сѧ
77,<wb>а
72,<wb>к
650,<wb>томоу
127 652 846,<wb>прѣ|кло|нітъ
70,<wb>сѧ
144,<wb>емоу
1649,<wb>вьсѣко
1700 85,<wb>колѣ|но
2065 668,<wb>небесъ|нъііхъ
39,<wb>і
1063 668,<wb>земь|нъііхъ
39,<wb>і
5460 1662,<wb>прѣісподь|нііхъ
1253,<wb>славѫ
144,<wb>емоу
884 393,<wb>възда|ѭште
457,<wb>нъінѣ
39,<wb>і
1199,<wb>прісно
39,<wb>і
81,<wb>вь
1161,<wb>вѣкъі
4470,<wb>вѣкомь
681,<wb>амін
395 12 319,<wb>ф|о|тѣ
3556 432,<wb>патріар|ха
4221 163 3081 118,<wb>конъ|ста|нті|нѣ
926,<wb>града
442,<wb>слово
68,<wb>на
1249 31 849,<wb>връ|б|ніцѫ
39,<wb>і
47,<wb>о
5779,<wb>лазарѣ
317,<wb>егда
7590,<wb>отрокъі
4649,<wb>осанна
56,<wb>въ
6098,<wb>въішьнііхъ
2719 2902,<wb>вьпі|ѭштѧ
845 148,<wb>цръ|къі
7323 316 873,<wb>въст|рѫ|бітъ
39,<wb>і
957 209 16,<wb>свѣтъ|лъі|і
288,<wb>тъі
850 104 433 401,<wb>бого|лѣ|пь|нъіі
1075,<wb>гласъ
150,<wb>къ
436,<wb>себѣ
3582 326,<wb>прівлѣ|кѫ
2092 138,<wb>въісо|къ
1387,<wb>бѫдѫ
6226 1011,<wb>потъшта|ніімъ
870,<wb>зъло
112,<wb>бо
201,<wb>аште
2421,<wb>радості
7152 255,<wb>прѣдолѣ|етъ
3147 272 465,<wb>поусто|шь|ное
6227,<wb>естъство
77,<wb>а
4576,<wb>любъі
62,<wb>не
1559,<wb>вѣстъ
2555 1393,<wb>жъ|даті
2784,<wb>врѣмене
5234 145,<wb>зовѫ|шта
39,<wb>і
6492,<wb>оумомъ
7732 1943,<wb>бъіст|ромъ
4623 196 622,<wb>объ|хо|ждѫ
5694 2149,<wb>віѳа|ніѭ
39,<wb>і
2566,<wb>рѫкама
3174 361,<wb>пле|штѧ
6193 3,<wb>лікоу|ѭ
39,<wb>і
1134 4141,<wb>съмѣ|шаѧ
70,<wb>сѧ
3364 784,<wb>ска|чѫ
190,<wb>сь
250 133 123,<wb>дѣ|ть|мі
1090 113 602,<wb>побѣ|дъ|нѫѭ
2404,<wb>пѣснь
190,<wb>сь
1047,<wb>німі
619 18 21 5687,<wb>оут|в|р|ждаѧ
3575,<wb>владъіцѣ
4649,<wb>осанна
56,<wb>въ
1496 1698,<wb>въішь|ніхъ
3269,<wb>благословьенъ
2615,<wb>грѧдъіі
56,<wb>въ
466,<wb>імѧ
2788,<wb>господьне
317,<wb>егда
178,<wb>лі
404,<wb>пакъі
7698,<wb>вѣіе
2468 361,<wb>носѧ|штѧ
39,<wb>і
190 96 94 2902,<wb>сь|рѣ|та|ѭштѧ
3810,<wb>хрістоса
39,<wb>і
178 148,<wb>лі|къі
305 381 361,<wb>ста|вѧ|штѧ
39,<wb>і
2382 302 361,<wb>сте|лѧ|штѧ
1290,<wb>різъі
2797 183 316,<wb>съмо|шт|рѫ
1123 3,<wb>радоу|ѭ
70,<wb>сѧ
964,<wb>такожде
295,<wb>еже
2281,<wb>віждѫ
7590,<wb>отрокъі
164 2335,<wb>про|стомъ
691 1543,<wb>ѧзъі|комь
39,<wb>і
6512 106,<wb>дѣлесе|мь
2404,<wb>пѣснь
3101,<wb>цѣсароу
803 361,<wb>творѧ|штѧ
208,<wb>нъ
786,<wb>прідетъ
195,<wb>мі
516,<wb>тъгда
580,<wb>паче
2943 344,<wb>жідовъ|скъі
4666,<wb>плакаті
70,<wb>сѧ
39,<wb>і
1197 2968,<wb>ненаві|дѣті
6545,<wb>зълобъі
99,<wb>ѣко
6720,<wb>отроці
3822 1349,<wb>съмъіс|лѧтъ
77,<wb>а
3449,<wb>отьці
70,<wb>сѧ
68,<wb>на
3505,<wb>оубоі
1618,<wb>творѧтъ
39,<wb>і
5589 215,<wb>младень|ці
850 660 712,<wb>бого|сло|вѧтъ
77,<wb>а
3449,<wb>отьці
68,<wb>на
530,<wb>бога
70,<wb>сѧ
1618,<wb>творѧтъ
516,<wb>тъгда
39,<wb>і
1275 257 409,<wb>кні|жь|нікъ
7482,<wb>самѣхъ
2281,<wb>віждѫ
2618 4413,<wb>падъ|шѫѭ
4386,<wb>мѫдрость
4577,<wb>славоѭ
112,<wb>бо
39,<wb>і
3225 125 2823,<wb>ліцемѣ|рь|ствомъ
6037,<wb>разоума
2077,<wb>горѣ
2343,<wb>зьлѣ
1665 173 82,<wb>вьзне|съ|ше
70,<wb>сѧ
1773 471,<wb>істінъ|нъіѧ
39,<wb>і
4897,<wb>божіѧ
283 3472,<wb>мѫ|дрості
67,<wb>по
1964,<wb>істінѣ
5268 801,<wb>отъпа|дошѧ
516,<wb>тъгда
39,<wb>і
1899,<wb>оучітель
299,<wb>іхъ
627 380,<wb>пла|чѧ
70,<wb>сѧ
4730 217 266 297,<wb>оже|сто|ча|ніѣ
3889,<wb>срьдьца
299,<wb>іхъ
99,<wb>ѣко
3656,<wb>оучіті
2863,<wb>інѣхъ
2546 244,<wb>порѫ|чені
62,<wb>не
821,<wb>бъішѧ
6903,<wb>достоіні
2379,<wb>своеѭ
870 689,<wb>зъло|боѭ
122,<wb>ні
75,<wb>съ
1060,<wb>своімі
1222,<wb>оученікъі
56,<wb>въ
5603,<wb>рѧдоу
4531,<wb>статі
39,<wb>і
3698,<wb>недѫгъ
2863,<wb>інѣхъ
4068,<wb>цѣліті
2176 3150,<wb>обѣшта|въшіі
70,<wb>сѧ
1680,<wb>самі
902 34 4336,<wb>послѣ|д|німъ
1260 2439,<wb>недѫ|гомъ
2104 123 204,<wb>безоу|мі|імъ
4515 110,<wb>болѣ|шѧ
3231 1011,<wb>веліча|ніімъ
2706,<wb>страсті
1746,<wb>вьсѫ
2472,<wb>доушѫ
2343,<wb>зьлѣ
3299 1069 340,<wb>обѧ|трі|въше
39,<wb>і
3994 689,<wb>соугоу|боѭ
67,<wb>по
1964,<wb>істінѣ
225 1140 3,<wb>ѧ|зе|ѭ
4515 5045,<wb>болѣ|вьше
6062,<wb>зьлі
112,<wb>бо
2021,<wb>сѫште
39,<wb>і
2343,<wb>зьлѣ
3823 91,<wb>страждѫ|ште
62,<wb>не
108 2086,<wb>мо|гошѧ
39,<wb>і
2706,<wb>страсті
1276,<wb>своеѧ
62,<wb>не
551 52,<wb>чоу|ті
2071,<wb>лѣпо
112,<wb>бо
165,<wb>бѣ
210,<wb>імъ
460 2270,<wb>вра|чоу
4441,<wb>прішъдъшоу
39,<wb>і
73,<wb>оу
562,<wb>ніхъ
1610,<wb>сѫштоу
1625,<wb>пріѧті
135,<wb>его
39,<wb>і
2240,<wb>рѣкъі
210,<wb>імъ
370 2215,<wb>цѣ|леніѣ
5828 923,<wb>проліва|ѭштоу
4432,<wb>оудобь
39,<wb>і
417,<wb>без
6684,<wb>брашъна
84,<wb>отъ
6334 103 2276,<wb>омъі|ва|ѭштааго
299,<wb>іхъ
2915 139,<wb>сквръ|нъі
599,<wb>своѧ
531 3640,<wb>очі|штаті
39,<wb>і
348 1928,<wb>стра|стіі
809,<wb>своіхъ
6334 667,<wb>омъі|ваті
70,<wb>сѧ
208,<wb>нъ
3659,<wb>волеѭ
39,<wb>і
551 92 793,<wb>чоу|въ|ства
39,<wb>і
1428,<wb>оумъ
424,<wb>своі
5520,<wb>коупьно
2343,<wb>зьлѣ
5712 243 340,<wb>ослѣ|пі|въше
524,<wb>своего
370 2215,<wb>цѣ|леніѣ
75 2800 110,<wb>съ|враті|шѧ
70,<wb>сѧ
39,<wb>і
3488,<wb>съпаса
39,<wb>і
6464,<wb>творьца
1010 52,<wb>позна|ті
62,<wb>не
4388 110,<wb>рачі|шѧ
77,<wb>а
821,<wb>бъішѧ
112,<wb>бо
1010 74,<wb>позна|лі
1676,<wb>свѧтъіі
3627,<wb>паулъ
141,<wb>рече
62,<wb>не
821,<wb>бъішѧ
480,<wb>га
1966,<wb>славъі
2906 74,<wb>распѧ|лі
62,<wb>не
2167,<wb>разоумѣшѧ
62,<wb>не
112,<wb>бо
39,<wb>і
2167,<wb>разоумѣшѧ
120 2298,<wb>ра|чіті
1282,<wb>іжде
112,<wb>бо
788 200,<wb>хотѣ|ніе
7997,<wb>сѫпротівь
861 11,<wb>бъіва|е
176,<wb>то
39,<wb>і
3434 672,<wb>дръжѧ|штѧѧ
2706,<wb>страсті
1428,<wb>оумъ
1332 274,<wb>плѣ|ноу
4182,<wb>бъіваетъ
39,<wb>і
2386,<wb>оума
1848 2689,<wb>свобо|жденіе
152 197 172,<wb>ва|бі|мо
68,<wb>на
640,<wb>добро
3177,<wb>істінъі
2803 4522,<wb>пості|женіе
62,<wb>не
1861,<wb>ідетъ
62,<wb>не
2167,<wb>разоумѣшѧ
5357,<wb>аггелъі
4393 2174,<wb>славі|мааго
39,<wb>і
5193,<wb>пророкъі
1111 6418,<wb>проповѣда|емааго
62,<wb>не
2167,<wb>разоумѣшѧ
47,<wb>о
1569,<wb>деснѫѭ
1206,<wb>отца
1041 1154,<wb>сѣдѧ|штааго
39,<wb>і
68,<wb>на
1400 2270,<wb>дѣві|чоу
1655,<wb>рѫкоу
7580,<wb>носіма
39,<wb>і
5377,<wb>словесемь
658 2183,<wb>ед|нѣмь
2109 834 145,<wb>дві|жѫ|шта
62,<wb>не
2167,<wb>разоумѣшѧ
68,<wb>на
6033,<wb>прѣстолѣ
4445 143,<wb>херові|ма
1041 1154,<wb>сѣдѧ|штааго
39,<wb>і
68,<wb>на
4919 52,<wb>осьлѧ|ті
7580,<wb>носіма
39,<wb>і
7590,<wb>отрокъі
631 74 143,<wb>хва|лі|ма
39,<wb>і
68,<wb>на
3263,<wb>страсть
240 153 602,<wb>во|ль|нѫѭ
1486 158,<wb>прішьдъ|ша
62,<wb>не
4172,<wb>познашѧ
122,<wb>ні
3879,<wb>разоумѣті
1816 2427,<wb>ізво|лішѧ
208,<wb>нъ
1105 3305,<wb>наріцае|міі
70,<wb>сѧ
7892,<wb>мѫдрі
503,<wb>бъіті
162 30 117 2743,<wb>об|ѫ|ро|дѣшѧ
39,<wb>і
84 5513,<wb>отъ|мьнѣ
56,<wb>въ
3615 3735,<wb>мъіс|лехъ
299,<wb>іхъ
4075 123 229 465,<wb>неразоу|мі|чь|ное
4476,<wb>срьдьце
747,<wb>сіі
1597,<wb>пророкъ
2051 132 266,<wb>ізда|ле|ча
1801,<wb>глаголааше
4037,<wb>прѣді
1104,<wb>відѧ
488 454,<wb>слоу|хомъ
1296 32,<wb>слъішѧ|т
39,<wb>і
62,<wb>не
2828,<wb>разоумѣѭтъ
39,<wb>і
2620,<wb>відѧште
62,<wb>не
2034,<wb>відѧтъ
73 79 287 104,<wb>оу|де|бе|лѣ
112,<wb>бо
4476,<wb>срьдьце
2799,<wb>людіі
745,<wb>сіхъ
39,<wb>і
7225,<wb>оушіма
4722 259,<wb>тѧжь|цѣ
3367,<wb>слъішашѧ
39,<wb>і
531,<wb>очі
159,<wb>сі
2066 3884,<wb>помѣ|жішѧ
105,<wb>да
62,<wb>не
2034,<wb>відѧтъ
2801,<wb>очіма
122,<wb>ні
7225,<wb>оушіма
3868,<wb>слъішѧтъ
122,<wb>ні
5370,<wb>срьдьцемъ
2828,<wb>разоумѣѭтъ
39,<wb>і
4633,<wb>обратѧтъ
70,<wb>сѧ
105,<wb>да
1479 293,<wb>ісцѣ|лѫ
225,<wb>ѧ
7868,<wb>повѣждь
195,<wb>мі
222,<wb>оубо
47,<wb>о
7120 126,<wb>жідові|не
394,<wb>что
70,<wb>сѧ
5193,<wb>пророкъі
3231 608,<wb>веліча|еші
77,<wb>а
6706 6418,<wb>проріца|емааго
184 3809,<wb>ко|ріші
376,<wb>како
178,<wb>лі
81 132 124 116,<wb>вь|ле|жі|ші
1275 3570,<wb>кні|гахъ
6037,<wb>разоума
1456 668,<wb>напіса|нъііхъ
4359 4141,<wb>ослоу|шаѧ
70,<wb>сѧ
39,<wb>і
806 8 946,<wb>отро|ч|нікъі
2329,<wb>закона
2081 608,<wb>събіра|еші
77,<wb>а
2076 1356,<wb>істо|вое
615 19 85 835,<wb>гро|з|но|вье
443 2501,<wb>бъ|раті
5939 3762,<wb>попоу|штаеші
39,<wb>і
56,<wb>въ
1275 564 668,<wb>кні|жъ|нъііхъ
2845 3988,<wb>роу|дахъ
56,<wb>въ
3147 352,<wb>поусто|шъ
81 2746,<wb>вь|діші
77,<wb>а
227,<wb>іже
81,<wb>вь
562,<wb>ніхъ
878 482,<wb>таі|нааго
62,<wb>не
6240 608,<wb>іскопа|еші
122,<wb>ні
190 287 4780,<wb>сь|бе|реші
5231,<wb>злата
208,<wb>нъ
1944,<wb>іні
67,<wb>по
1384 897,<wb>законъ|нъіімъ
4587 52 1337,<wb>цвѣ|ті|ломъ
75,<wb>съ
6515 3,<wb>любьві|ѭ
186 1945,<wb>ц|вѣтъ
4623 143 340,<wb>объ|ма|въше
3378 74,<wb>свѣть|лі
3886,<wb>свѣтъло
5733 147,<wb>оувѧ|сті
56,<wb>въ
774 7276 4508,<wb>црь|квь|нѣѣмъ
6193 304,<wb>лікоу|ѭтъ
4216 115 388,<wb>чрь|то|зѣ
39,<wb>і
295,<wb>еже
56,<wb>въ
3017,<wb>благодѣті
932,<wb>добрѣ
240 4805,<wb>во|нѣетъ
7569 11,<wb>благочьсті|е
298 2222,<wb>но|сѧтъ
77,<wb>а
288,<wb>тъі
178 439 204,<wb>лі|стві|імъ
171 2152 92,<wb>за|кръі|въ
531,<wb>очі
159,<wb>сі
941,<wb>вьсь
70,<wb>сѧ
2285,<wb>тамо
444,<wb>прѣда
122,<wb>ні
377,<wb>оть
485,<wb>того
294 287 153 793,<wb>де|бе|ль|ства
2426,<wb>болѣзні
3181,<wb>імѣѧ
122,<wb>ні
150,<wb>къ
7090 218,<wb>цвѣть|ца
6174 191,<wb>възо|роу
178 83 199,<wb>лі|че|се
524,<wb>своего
62,<wb>не
5783 267,<wb>прѣве|дъі
39,<wb>і
288,<wb>тъі
453 6828 17,<wb>бі|сръ|а
7052,<wb>дъскъі
6952,<wb>іміже
70,<wb>сѧ
973 2222,<wb>кра|сѧтъ
2343,<wb>зьлѣ
851 85 278 608,<wb>оум|но|жа|еші
77,<wb>а
3163 111,<wb>хсо|ві
2190,<wb>людіе
157,<wb>тъ
84 1837 103 3,<wb>отъ|крі|ва|ѭ
486 467,<wb>лѣ|пѣ
666 425,<wb>чі|стѫ
67,<wb>по
1964,<wb>істінѣ
2603 304,<wb>пріемь|ѭтъ
1773 602,<wb>істінъ|нѫѭ
171 316,<wb>за|рѫ
39,<wb>і
73,<wb>оу
1849 115 212,<wb>чръ|то|га
333 2746,<wb>сѣ|діші
2051 3622,<wb>ізда|въна
70,<wb>сѧ
905 275,<wb>троу|дѧ
77,<wb>а
1475 158,<wb>прішъдъ|ша
100 686,<wb>з|ѧті
62,<wb>не
2603 608,<wb>пріемь|еші
6508,<wb>дръжімъ
576,<wb>съі
2574 1227,<wb>похо|тіѭ
2029 86,<wb>блѫ|да
67,<wb>по
1964,<wb>істінѣ
2805,<wb>събра
56 352,<wb>въ|шъ
417,<wb>без
1186 793,<wb>мѫжь|ства
39,<wb>і
56,<wb>въ
159 3504,<wb>сі|рѣхъ
4236,<wb>словесехъ
417,<wb>без
2386,<wb>оума
438,<wb>едінъ
67,<wb>по
1964,<wb>істінѣ
747,<wb>сіі
2190,<wb>людіе
6233 111,<wb>ѫроді|ві
77,<wb>а
62,<wb>не
7892,<wb>мѫдрі
4547,<wb>іспръва
112,<wb>бо
73 293 4706,<wb>оу|лѫ|ченіі
68,<wb>на
1384,<wb>законъ
122,<wb>ні
56,<wb>въ
902 34 7037,<wb>послѣ|д|німь
1122,<wb>мѣстѣ
1456 60,<wb>напіса|ні
821,<wb>бъішѧ
850 169 4595 297,<wb>бого|по|зна|ніѣ
62,<wb>не
379,<wb>слъіша
178,<wb>лі
7442,<wb>цѣсарѣ
4049 86,<wb>давъі|да
782 389,<wb>божі|емъ
7498 3516 106,<wb>освѧ|штеніі|мь
67 737,<wb>по|ѭшта
168,<wb>із
1409,<wb>оустъ
4800 1959,<wb>младь|нець
2035 805,<wb>съсѫ|штііхъ
6661,<wb>съвръшілъ
313,<wb>есі
1643,<wb>хвалѫ
1682,<wb>врагъ
865,<wb>твоіхъ
368,<wb>раді
62,<wb>не
4120,<wb>вѣроуеші
178,<wb>лі
643 273,<wb>проро|коу
4652,<wb>вѣроуі
699,<wb>акъі
3601 259,<wb>ѫжі|цѣ
201,<wb>аште
3106,<wb>нѣсі
39,<wb>і
2467,<wb>словесъі
1898 4620,<wb>отъвръ|глъ
3601 229 793,<wb>ѫжі|чь|ства
2051 180 102,<wb>ізда|вь|на
112,<wb>бо
374,<wb>тѧ
1744,<wb>вѣмь
7455,<wb>дѣлесъі
5451 158,<wb>отъвръгъ|ша
70,<wb>сѧ
135,<wb>его
2981 2746,<wb>прѣобі|діші
178,<wb>лі
39,<wb>і
699,<wb>акъі
6048,<wb>пастоуха
3505,<wb>оубоі
70,<wb>сѧ
699,<wb>акъі
2470,<wb>црѣ
1559,<wb>вѣстъ
112,<wb>бо
127 3090,<wb>прѣ|тіті
699,<wb>акъі
859,<wb>цѣсарь
576,<wb>съі
201,<wb>аште
486 375 361,<wb>лѣ|нѧ|штѧ
70,<wb>сѧ
518,<wb>ілі
1840 2902,<wb>гнѣва|ѭштѧ
1175 3855,<wb>поч|оуе
39,<wb>і
7548,<wb>копіе
1007 384 393,<wb>блі|ска|ѭште
70,<wb>сѧ
68 146 231,<wb>на|ве|детъ
39,<wb>і
198 74 1274,<wb>па|лі|цеѭ
2726 1080,<wb>желѣз|ноѭ
198 2126,<wb>па|сетъ
39,<wb>і
699,<wb>акъі
5997,<wb>съсѫдъі
4377 10 139,<wb>глі|н|нъі
4029 276,<wb>тьлѣ|ніі
2386,<wb>оума
1144 2 1915,<wb>съвръ|ш|шѧѧ
70,<wb>сѧ
3912 1277,<wb>сътъ|ретъ
1900,<wb>рьці
190,<wb>сь
528,<wb>німъ
3274,<wb>велікомъ
2321,<wb>гласомъ
168,<wb>із
1409,<wb>оустъ
4800 2089,<wb>младь|нецъ
39,<wb>і
2035 805,<wb>съсѫ|штііхъ
6661,<wb>съвръшілъ
313,<wb>есі
1643,<wb>хвалѫ
1431,<wb>твоемоу
73 88,<wb>оу|моу
318 1427,<wb>мь|стіті
919,<wb>хотѧ
3116 137,<wb>прішъ|лъ
161,<wb>естъ
3805,<wb>съпасъ
1431,<wb>твоемоу
318 1427,<wb>мь|стіті
919,<wb>хотѧ
1643,<wb>хвалѫ
5589 363,<wb>младень|ць
1874 470 11,<wb>оутврь|жда|е
1563,<wb>почто
1397,<wb>своемоу
159,<wb>сі
1590 2746,<wb>заві|діші
1538 690,<wb>съпасе|нію
1563,<wb>почто
176 1823,<wb>то|лмі
4878,<wb>зълъ
313,<wb>есі
1625,<wb>пріѧті
3017,<wb>благодѣті
201,<wb>аште
62,<wb>не
39,<wb>і
121,<wb>се
295,<wb>еже
870,<wb>зъло
318 5907,<wb>мь|ніші
77,<wb>а
356,<wb>тебѣ
161,<wb>естъ
68,<wb>на
640,<wb>добро
1245,<wb>обаче
462,<wb>твоі
2754 197,<wb>зьло|бі
7152 255,<wb>прѣдолѣ|етъ
6295 608,<wb>ослоуша|еші
178,<wb>лі
70,<wb>сѧ
295,<wb>еже
379,<wb>слъіша
2991,<wb>послоушаі
494,<wb>ѣже
952 143 17,<wb>віді|ма|а
122,<wb>ні
178,<wb>лі
643 273,<wb>проро|коу
4120,<wb>вѣроуеші
566 841,<wb>іса|іі
81 433 923,<wb>вь|пь|ѭштоу
39,<wb>і
3103,<wb>глаголѫштоу
2847,<wb>ѧзъіці
68 2183,<wb>на|нѣмь
7725,<wb>навъікнѫтъ
1967,<wb>глаголаті
688,<wb>міръ
176,<wb>то
178,<wb>лі
62,<wb>не
2847,<wb>ѧзъіці
68 2183,<wb>на|нѣмь
843,<wb>істінѫ
78 763,<wb>ѣ|сно
3797,<wb>глаголѫтъ
62,<wb>не
1758 4122,<wb>навъі|кошѧ
178,<wb>лі
631 1527,<wb>хва|літі
3717 166,<wb>младені|шті
975,<wb>міра
1461,<wb>хс
112,<wb>бо
161,<wb>естъ
688,<wb>міръ
1480,<wb>нашъ
295,<wb>еже
3536 188 602,<wb>срѣ|дь|нѫѭ
2423 179,<wb>стѣ|нѫ
460 15 267,<wb>вра|ж|дъі
2628,<wb>разорі
39,<wb>і
538,<wb>егоже
2360,<wb>дѣлѣ
75,<wb>съ
377 1699,<wb>оть|цемь
39,<wb>і
75,<wb>съ
4052 1233,<wb>творь|цемъ
536,<wb>прѣжде
2343,<wb>зьлѣ
47 1835 340,<wb>о|стѫпі|въше
190 123 174 60,<wb>сь|мі|ре|ні
4110,<wb>бъіхомъ
122,<wb>ні
178,<wb>лі
4541,<wb>захаріѣ
4279,<wb>свѧтъіімъ
4843,<wb>доухомъ
536,<wb>прѣжде
1111,<wb>проповѣда
1994,<wb>радость
1927 274,<wb>сіо|ноу
2917,<wb>радоуі
70,<wb>сѧ
857,<wb>глаголѧ
760,<wb>зѣло
5667,<wb>дьшті
6112,<wb>сіонѣ
1111 16,<wb>проповѣда|і
5667,<wb>дьшті
6125 1442,<wb>іероусалі|млѣ
121,<wb>се
859,<wb>цѣсарь
462,<wb>твоі
1578,<wb>грѧдетъ
323,<wb>ті
750 2683,<wb>правь|дівъ
39,<wb>і
3488 24,<wb>съпаса|ѧ
157,<wb>тъ
7632,<wb>кротъкъ
