page_no|page_text|gloss_thing
144d| наше покрꙑ бечьстье лица наша• ꙗко вънидоша инородьци въ ст҃аа наша въ домъ г҃нь• рече же дв҃дъ• тꙑ вѣси поношенье мое и стѹдъ мои и срамотѹ моѫ• ꙗко вьсь дьнь срамъ мои прѣдъ мъноѭ есть• и стѹдъ лица моего покрꙑ мѧ• сь есть добръи и на бж҃ьѭ стѹдъ• иже въ покаанье и дрьꙁновенье ведеть чл҃ка• есть же и врѣдовьнъ по гл҃ѫштиимъ книгамъ• есть|
145a| стѹдъ слава и радость• мноꙁи бо стꙑдⱑште сѧ етеръ въпадаѫть въ сѣти непрьꙗꙁнинꙑ• и приносить• покрꙑваꙗи нечьстье свое• не поспѣеть сѧ въ благо• повѣдаꙗи же и обличаꙗ въꙁлюбленъ бѫдеть• и па҇ⷦ• правьдьникъ себѣ клеветьникъ въ прьвословесьи• и еже ѥлико ѹбо лѣтъ неꙁълобивии дрьжать сѧ по правьдѹ• не постꙑдѧть сѧ• еже бо раꙁѹмѣвати ꙁаконъ•|
145b| раꙁмꙑшленьꙗ есть блага• и приводить• блаженъ иже ѹстрашаеть сѧ вьсего ꙁа говѣнье• иже готоваи въ исходъ дѣла своꙗ• и не стꙑди сѧ исповѣдати грѣхъ своихъ• расмотреньꙗ ѹбо трѣбѫеть чл҃къ• да вѣсть къде ѹбо длъжънъ есть стꙑдѣти сѧ• о сп҃сении д҃ша своеꙗ• къде же и отъврѣшти и ꙗко на грѣхъ ноштъ• есть бо иже стѹда ради обѣштаваеть сѧ своемѹ дрѹгови:|
145c| и сътвори и врага тѹне• мꙑ ѹбо въꙁлюблении на бж҃ьѭ и стѹдъ дрьжимъ• подобѧште сѧ мꙑтоимьцѫ• стꙑдѧштаго сѧ въꙁьрѣти на небо• нъ бьѭшта своꙗ прьси и гл҃юшта• б҃же милостивъ бѫди мънѣ грѣшьникѹ• да и оставление грѣховьное ѹлѹчимъ• о х҃ѣ ис҃ѣ г҃и нашемь• емѹже слава въ вѣкꙑ вѣкомъ|
145d| АМИН ѯ҃ѳ ⁘ Ꙍ СЪМѢРЕНѢМОУДРИИ ⁘ Съмѣреномѫдрье вꙑсокопарива• и аероходива сътварѧеть чл҃ка• елико бо себе кто ниꙁить• толико паче вꙑсить и б҃ъ• ꙗкоже и бж҃ьи събесѣдьникъ моси съмѣрѧꙗ сѧ• не отъврьже съвѣта тьсти своего иотора• цѣ и по толицѣхъ б҃оꙗвлениихъ• нъ ѥлико рече ѥмѹ|
146a| створи• тѣмьже и б҃ъ прѣвъꙁнесе и• паче же вьсѣхъ сѫщиихъ на ꙁемли• такожде же и гедеонъ отъвѣштаваше• съмѣрениемь ефремови г҃лѧ• чъто створихъ нꙑнѣ ꙗкоже вꙑ створисте• не лѹчии ли пабирокъ ефлемль• неже обьманье авиеꙁере• въ рѹцѣ ваши прѣдалъ есть г҃ь кнѧꙁѧ мадиамьскꙑ и что въꙁмогохъ створити• ꙗкоже въї створисте•|
146b| цѣ и томѹ дарова б҃ъ трьми сътꙑ мѹжь• нъ праведьникъ съмѣрениемь ѹстави ꙗрость ихъ• и прѣжде того къ анг҃лѹ гл҃аше• + кто есмь аꙁъ• или домъ оц҃а моего• тꙑсѫшти моꙗ ++ съмѣренѣиши въ манасии• гл҃еть же и единъ мѫдръ• ельма великъ еси• тольма съмѣрѧи сѧ• и прѣдъ бм҃ь обрѧштеши благодѣть• ꙁане всѧ дѣла съмѣренаго ꙗвлѧѭть сѧ прѣдъ бм҃ь•|+ чъто     ++ хѹжьдши
146c| ꙗко ѹста съмѣренъихъ поѹчаѭть сѧ прѣмѫдрости• раꙁѫмъ же благъ даеть благодѣть• пѣснопои же рече аꙁъ ѥсмь чрьвь а не чк҇ⷧъ• поношенье чл҃комъ и ѹничьженьѥ людьмъ• и пакꙑ• ꙗко и чѫдѫ бꙑхъ многꙑимъ• и тꙑ помоштьникъ мои крѣпъкъ• съмѣренъи и дѣло имꙑ дхв҃но• чътꙑ ст҃ꙑꙗ книгꙑ• вьсе на сѧ раꙁѹмѣваѥть• а не на иного• аште хоштемъ|
146d| истиннѹмѹ ѹгодити бв҃и• и блаженѹѫ любовьѭ любими бꙑти• нага ѹма нашего прѣдъпоставимъ• ничесоже влачашта настоꙗштаго вѣка• ни кацѣхъ же хꙑтростьи или мѫдростьи• или правословесьꙗ• ѹврачаеть бо сѧ бн҃ое• отъ приходѧштиихъ къ немѹ съ риꙁоѭ коварьствьноѫ• аште бо бг҃очьстивъ и съмѣренъ есть кто• и не|
147a| прѣвъꙁносѧ сѧ сѫетьноѭ гръдостиѭ• ни дрьꙁьствѹꙗ• нъ съкрѹшенъ срьдьцемь• и непьштюꙗ себе неключима раба сѫшта• тъгда приꙁираеть• и въселить сѧ блг҃дть бж҃ьꙗ• истовааго же съмѣреньꙗ ꙁнаньство• не ѥже самомѹ себе покꙑдати ѹкориꙁноѭ• нъ ѥже отъ инѣхъ коримѹ добле трьпѣти• и никтоже съмѣрѧꙗ сѧ + правьдьнословѹѥть•|+ въпрѣкъ гл҃еть
147b| ꙗкоже ѹбо плодъ многъ ниꙁълѧцаеть вѣтви древѹ• тако добрꙑ дѣтѣли множьство• ниꙁить мꙑсль мѫжю• и ꙗкоже + соха подъдрьжить вѣѭ плодьнѹ• тако страхъ бж҃ьи добродѣтѣльна• блаженꙑи же павьлъ присꙑлаеть гл҃ѧ• ѡ окаанъи аꙁъ чл҃къ• кто мѧ иꙁбавить отъ тѣла съмрьти сеꙗ• и пакꙑ• ꙗко отрѣби мирови бꙑхомъ•|+ коль
147c| вьсѣмъ попьранье• си же гл҃аньꙗ• съмѣреньѭ сѫть + притъча• и пакꙑ вѣсте бо благодѣть бж҃ьѭ• ꙗко васъ ради обништа богатъ сꙑ• да вꙑ оного ништетоѭ обогатѣѥте• и приводить• молю ѹбо вꙑ аꙁъ ѹжьникъ о г҃и• достоино ходити ꙁъваньꙗ• имьже ꙁъвани бꙑсте• съ всѧкоѭ съмѣреноѭ мѹдростьѭ и кротостьѭ• трьпѣньимь отъраждаѭште|+ обраꙁъ
147d| дрѹгъ дрѹгѹ любъвью• и приносить• ѥже послѣже вьсѣхъ ꙗко їꙁврагови ꙗви сѧ и мнѣ• аꙁъ бо есмь мьньи ап҃лъ• хотѧи ѹбо сътѧжати• бг҃одарьнѹѭ сьѭ• съмѣреномѫдрьꙗ дѣтель• и иꙁбѣгнѹти ꙗкоже прѣжде рече сѧ• пѹстошьнаго и бг҃омрьꙁънаго дроченьꙗ прѣꙁорьнаго• ничесоже да не оставить съконьчаѭштиихъ на исправление еꙗ• нъ да бѹдеть|
148a| емѹ + обраꙁъ и риꙁа и стѫпанье• и сѣдало• и пища• и ложе• и слово• и движеньѥ• и гл҃анье• и къ искрьнѫмѹ бесѣда• все къ съмѣреньѭ ѹстроѥно• прѣжде же всего• ни о чимьже да вѣрѹть себѣ• нъ да повинѹеть сѧ искрьнѫмѹ и работаеть емѹ• поминаꙗ г҃а• не прѣꙁьрѣвъшааго ѹмꙑти ногꙑ своимъ ѹченикомъ• и рекъша• обраꙁъ бо дахъ вамъ съмѣреномѫдрьꙗ• да ꙗкоже|+ и
148b| аꙁъ створихъ вамъ• и вꙑ творите дрѹгъ дрѹгѹ• аште се вѣсте• блажени есте аште творите ѥ• томѹ слава въ вѣкꙑ вѣкомъ АМИН о҃ ⁘ Ꙍ ТО ҇ⷨ ѤЖЕ ѾДАꙖТИИСКРЬНЮМОУ ⁘ Ѥже отъдаꙗти искрьнѫмѹ отъ ср҃ца• гн҃ѧ ꙁаповѣдь|
148c| есть• и сп҃сна всѣмъ чл҃комъ• ꙁаповѣдь бо ѥго жиꙁнь вѣчьнаꙗ есть• аште ѹбо простимъ• проштени бѹдемъ• аште ли ни• то ꙁапечатьлѣваемъ своꙗ грѣхꙑ• кто ѹбо прѣмѫдръ хотѧи ѹлѹчити + оставленье• бештисльнꙑихъ своихъ прѣгрѣшении• не съ радостью оставить искрьнѫмѹ своемѹ малꙑихъ грѣхъ• не тъчьѭ же г҃ъ се ꙁаповѣдаеть|+ прощенье
148d| намъ творити• нъ и дѣломь намъ покаꙁаеть• како ѭ подобаеть + съврьшати• на кр҃стѣ бо сꙑ• молѧаше ꙁа беꙁаконьновавъшаꙗ въ нь• своего оц҃а г҃лѧ• о҃че ++ остави имъ• не вѣдѧть бо чъто творѧть• се благосрьдъи• и отъвѣштавае ꙁа нѧ г҃лѧ• не бо вѣдѧть чьто творѧть• и прѣжде того ѹченикомъ негодѹѫштемъ• на етерꙑ самарѣнꙑ не приимъши ихъ• и просѧште|+ творити     ++ прости ѧ
149a| бг҃опѹстомь огнемь погѹбити ꙗ• ꙁапрѣти имъ гл҃ѧ• не вѣсте коего д҃ха есте• сирѣчь• кротъкааго и благааго• томѹжде же и пр҃къ иꙁѹчаеть нꙑ• рече бо ꙁахариꙗ сѫдъ правьдьнъ сѫдите• и милость и штедротѫ творите• къжъдо къ искрьнюмѹ своемѹ• и павьлъ же рече бꙑваите же дрѹгъ дрѹгѹ• блаꙁи мл҃ди• подобьни б҃ѹ• ꙗко чада въꙁлюбленаꙗ даѭште себѣ•|
149b| ꙗкоже и х҃ъ дарова намъ• пр҃къ же авьдие• имьже обраꙁомь створи• бѫдеть ти• въꙁдаанье твое въꙁдасть сѧ на главѫ твоѭ• длъжьни есмъ• страдати дрѹгъ съ дрѹгомь• и праштати дрѹгъ дрѹга• ꙗко ѥдино тѣло есмъ• и дрѹгъ дрѹгѹ ѹди• и тождѥ длъжьни есмъ въ себѣ + пешти сѧ• боꙗште сⱑ и самого г҃нѧ страшьнаго отъреченьꙗ• и отъ ср҃ца праштаимъ дрѹгъ|+ мꙑслити
149c| дрѹга• рече бо• ꙗко тако створїть вамъ оц҃ъ мои нб҃снꙑи• аште не отъпѹштаѥте къжъдо братѹ своемѹ отъ ср҃ць вашихъ прѣгрѣшеньꙗ ихъ• рабе бо рече лѹкавъи• вьсь длъгъ онъ отъпѹстихъ ти• ꙁане ѹмоли мѧ• не подобаше ли и тебѣ миловати клеврѣта своего• ꙗкоже и аꙁъ тѧ помиловахъ• и раꙁгнѣвавъ сѧ прѣдасть и мѫчителемъ• донде въꙁдасть|
149d| все длъжъное моѥ• и петрѹ въпросивъшѹ• колишьдꙑ оставлю братѹ своѥмѹ аште съгрѣшить мнѣ• до седмишъдꙑ ли• отъвѣшта емѹ г҃ь• не г҃лю тебѣ седмишьди• нь седмидесѧти седмишьди• сего ради приводить• отъдадите и отъдасть сѧ вамъ• и аште съгрѣшить тебѣ братъ твои• ꙁапрѣти емѹ• и аште покаеть сѧ• то прости и• и аште седмикратꙑ дн҃ьмь обрать|
150a| сѧ къ тебѣ г҃лѧ каѭ сѧ• отъдаждь емѹ г҃а ради• томѹ бо слава благоср҃дмѹ и чл҃колюбивѹмѹ б҃ѹ• въ вѣкꙑ вѣкомъ АМИН о҃а ⁘ О ТОМЬ ѤЖЕ МОЛИТВѪ ДѢАТИ ⁘ ⁘ дрѹгъ ꙁа дрѹ⁘ ⁘ га и ꙁа врагꙑ ⁘ Додро въꙁлюблении• еже всѣми + ꙁаповѣдьми хв҃ами• ꙁанеже дрѹга дрѹгꙑ|+ ходити:
150b| сѧ дрьжить• ꙗко ѭжьмь ꙁлатомь• вѣрьнꙑ бо всѧ ꙁаповѣди ѥго• ѹтврьжденꙑ въ вѣкꙑ вѣка• подобаеть ѹбо истиннѣ хотѧштѫмѹ ѹченикѹ бꙑти х҃вѹ• и раꙁгараѭштѫмѹ сѧ огнемь любъве его• ниѥдиноꙗже мимоити ꙁаповѣди его• аште и мала едина или тѧжька мьнить ти сѧ бꙑти• самъ бо рече• аште любите мѧ ꙁаповѣди моꙗ съблюдете• и пакꙑ• аминь г҃лю вамъ•|
150c| аште не иꙁбѹдеть вашѧ правьда паче фарисеї• то не вънидете въ црс҃тво нб҃сное• вьчера вамь въꙁлюблении• ѡ отъдании искрьнѫмѹ бесѣдовахомъ• дьньсь не тъчьѭ оставлѧти нъ и молити ꙁа нѧ вамъ въспоминаемъ• рекъше молимъ• имьже обое вл҃ка нашь и сп҃съ ꙁаповѣдаеть• никтоже ѹбо тѧжькъ да мнить ꙁаповѣдии его иго бо мое рече|
150d| маꙁано• и брѣмѧ мое льгъко ѥсть• ап҃лъ• любѧштиимъ б҃а• всѧ поспѣѭть сѧ въ благо• ꙗкоже и въ с҃тꙑхъ книгахъ обрѣтаемъ• всѧ свⱑтьцѧ дѣломь съконьчавъша ꙁаповѣдь сьѭ• паче же и всѧ• рече бо пр҃къ самѹиль къ людемъ• не бѫди мнѣ отъстѹпити отъ г҃а• нъ въпити ꙁа вꙑ молѧштѹ сѧ• и пакꙑ• мнѣ не бѹди съгрѣшати г҃ви• еже не прѣстати молѧштѹ сѧ ꙁа вꙑ•|
151a| како же и отъринѫшѧ ти• и ѹничьжиша просивъшеи ц҃рѧ• всѣмъ вѣсто есть и ꙗвѣ• ї иеремиꙗ пр҃къ• толь много пострадавъ и отъ нихъ всегда молѧаше сѧ ꙁа нѧ• и ꙗвѣ отъ негоже къ немѹ б҃ъ гл҃ааше• + тꙑ не моли сѧ о нихъ• ꙗко не послѹшаѫ тебе• такоже и моси гл҃ааше къ б҃ѹ• аште оставиши имъ грѣхъ• остави• аште ли ни• то и мѧ остави отъ книгъ твоїхъ•|+ и
151b| не тъчьѭ же иже въ ветъсѣмь ꙁавѣтѣ се творѧахѹ• нъ и въ новѣмь• блаженъи бо иѧковъ братъ г҃нь• ан҃глскомь житьемь живъ на ꙁемли• слꙑшааше сѧ отъ вьсѣхъ правьдивъи• рекъше• ѡвлиꙗ• еже есть одрьжанье людьско• праꙁдьникѹ ѹбо сѫштѹ пасхꙑ• и многамъ тьмамъ сьшедъшамъ сѧ въ цр҃квь жидовьскѭ• въꙁведъше и на крило цр҃квьное рѣша|
151c| молимъ тѧ правьдьниче решти людемъ• да сѧ бꙑшѧ не прѣльштали въ слѣдъ рекомааго іс҃а• тебе бо вси вѣрѹ емлемъ• онъ же отъвѣштавъ рече• чьто мѧ въпрашаѥте о сн҃ѣ чл҃чи• и тъ сѣдїтъ о деснѹѭ б҃а на вꙑсотахъ• ꙁаконопрѣстѫпьници же архиерѣи и фарисѣи кликнѫшѧ• ѡ ѡ ꙁълѣ створихомъ• таково съвѣдѣтельство на сѧ сами• о іс҃ѣ прѣведъше•|
151d| мноꙁи же отъ людьи слꙑшавъше его вѣровашѧ• а прочии вꙁлѣꙁъше• съврьгѹ и съ вꙑше долѹ• ѡнъ же падъ на колѣнѹ• не абье ѹмрѣ• нъ ꙁа нѧ молѧше сѧ• и приближь сѧ единъ сн҃въ рихавовъ• слꙑша и• и гл҃а имъ• что дѣлаете• правьдьникъ ꙁа нꙑ молить сѧ• тъгда текъ единъ гнафеи• ѹдари и въ лобъ дрѣвомь на немьже риꙁꙑ иꙁвиваѫть• и ѹмрътви и• такоже и|
152a| блаженꙑи стефанъ• стоꙗ посредѣ ꙁаконопрѣстѹпьникъ въꙁъпи гл҃ѧ• се вижю небеса отъврьста• и с҃на чл҃ча стоꙗшта о деснѹѫ б҃а• похꙑштьше же ї• иꙁведоша и вънъ иꙁ града• и камениимь побиваахѹ• молѧшта сѧ и гл҃юшта• г҃и не постави имъ грѣха сего• се ѹбо видимъ ст҃ꙑꙗ• ꙗко и до съмрьти молѧахю сѧ ꙁа врагꙑ своѧ• молѧи бо сѧ ꙁа обидѧштаꙗ чл҃кꙑ• кльнеть ѹбо бѣсꙑ•|
152b| самъ же цс҃тва нб҃снаго бѹдеть наслѣдьникъ• повелѣваеть же и ап҃лъ• ꙁа всѧ чл҃кꙑ мл҃твѹ дѣѧти• а еже ꙁа всѧ мѣнить• ꙗко не тъчъѭ ꙁа дрѹгꙑ• нъ и ꙁа врагꙑ подобаеть молити сѧ• то длъжьни есмъ и мꙑ• не тъчъѫ ꙁа дрѹгꙑ нъ и ꙁа врагꙑ молити сѧ• ꙗкоже и самъ г҃ъ• дѣломь намъ покаꙁа• на кр҃стѣ ѹбо ꙁа распинаѭштаꙗ молѧ своего оц҃а• прѣжде же крьста на таинѣи вечери•|
152c| ꙁа всѧ дрѹгꙑ и ѹченикꙑ• вꙑ бо дрѹꙁи мои есте рече• и ѹже не гл҃ю васъ рабъ• молѧаше же сѧ г҃лѧ• оч҃е ст҃ꙑи• съблюди ꙗ въ имѧ твоѥ ѧже дасть мнѣ• и пакꙑ• не молю да въꙁьмеши ꙗ отъ мира• нъ да съблюдеши ⱑ отъ неприꙗꙁни• с҃ти ꙗ истиноѫ твоеѭ• слово твое истина есть• томѹ слава• въ вѣкꙑ вѣкомъ АМИН|
152d| ѯ҃в ⁘ Ꙍ ТО ⷨ҇ ѤЖЕ НЕ ИСКАТИ СВОИХЪ ⁘ си Ꙗкоже длъжъни есмъ отъ ꙁаповѣди бж҃ьꙗ отъдаꙗти• и молити дрѹгъ ꙁа дрѹга• тако длъжъни есмъ и не искати своихъ си• нъ единотѣлесьнъихъ братъ• да не подамь имъ врѣда винꙑ• гл҃еть бо б҃ъ мѹсии• ѹрѣши обѹтѣль ногѹ твоеѭ• еже есть ѹрѣжи правьдьство• плътьскѹѭ мѫдрость|
153a| своѥꙗ волѧ• мѣсто бо на немьже тꙑ стоиши• ꙁемлѧ с҃та есть• ѭже и наслѣдѧть кротъции• и мꙑ ѹбо отъсѣцѣмъ хотѣньꙗ нашѧ плътьскаа• а бж҃ьее ѹдрьжимъ• да не поимьни бѫдемъ отъ него• иеремиемь гл҃юштемь• мене оставишѧ источьника водꙑ живꙑ• и ходишѧ хотѣниї своими ꙁълъими• вънемлѣмъ ѹбо тврьдѣ• еда къгда напоимъ браⷮ҇ѭ своѫ острѹениемь мѫтномь•|
153b| кацѣмь любо блаꙁномь• аште бо брашъна ради рече братъ твои скрьбить• или съблажнѧеть сѧ• ѭже не по любъви ходиши: не брашъномь своимь того погѹблѧи• ꙁа негоже х҃с ѹмрѣ• такоже съгрѣшаѭще въ братиѭ: и бьѭще ихъ съвѣсть немощънѹѭщѹ: въ х҃а съгрѣшаѥте: тѣмьже аще брашъно съблажнѧѥть брата моѥго: рьцѣмъ и мꙑ говѣиниї: не ꙗмъ|
153c| мѧсъ въ вѣкъ• да брата своего не съблажнѧю• се же гл҃еть• рекъше творить бг҃олюбивъи и кротьколюбивꙑи• и дрѹголюбивꙑи по всемѹ бес прѣтꙑканьѧ себѣ блюдꙑ• да имь никтоже съблажнь сѧ не ѹмьреть• ѹсѣцѣмъ ѹбо братье волѧ своеѧ искрьнюмѹ своемѹ• да не бѫдемъ виновьни съблаꙁнѹ и раꙁвраштеньѭ• слꙑшаштиимъ и видѧштиимъ|
153d| житье наше• блаженъ бо иже ѹстрашаеть сѧ всего ꙁа говѣнье• пишеть бо и блаженꙑи павлъ• никтоже да иштеть своихъ си• нъ дрѹжьнѧаго• бес прѣтꙑканьꙗ бꙑваите рече• и иѭдеѡмъ• и їелиномъ• и цр҃къви бж҃ии• ꙗкоже и аꙁъ вьсегда вьсѣмъ ѹгаждаѫ• не иштѫ своеѧ польꙁѧ• нъ многꙑихъ да сп҃сѫть сѧ• и пакꙑ• любъ да не иштеть своихъ си• не|
154a| раꙁдражаеть сѧ• все трьпить• все прѣстрадаеть• и приносить• длъжъни есмъ мꙑ сильниї• немошти немоштьнъихъ носити• и не себѣ ѹгаждати• ибо х҃ъ не себѣ ѹгоди• и па҇ⷦ• кто иꙁнемагаеть• и + иꙁнемагаѫ• кто съблажнѧеть сѧ• и аꙁъ не раждиꙁаѫ сѧ• и г҃ь рече• мое брашьно есть• да творѫ волю посълавъшааго мѧ оц҃а• и съконьчаѭ его дѣло• волѧ же оц҃а моего есть• сп҃сти|+ не
154b| всѧкого чл҃ка• и пакꙑ• сънидохъ с нб҃се• не да творѭ волю моѭ• нъ посълавъшааго мѧ оц҃а• томѹ слава въ вѣкꙑ вѣкомъ АМИН ѯ҃г ⁘ Ꙍ ТОМЬ ѤЖЕ НЕ ⁘ ⁘ ВЪСХОТѢТИ ⁘ Писано есть• елико дх҃омь бж҃ьемь водѧть сѧ• сии сѫть сн҃ве бж҃ии• аште ѹбо|
154c| сн҃ве бж҃ьи въꙁлюбѧть дъщери чл҃чѧ• сирѣчь славꙑ чл҃чѧ• то отъ тѣхъ родѧть сѧ юже штѫдове• отъ вѣка именитии• рекъше отъ таковꙑꙗ славꙑ• раждаеть сѧ прѣꙁоривьство• въꙁношенье• дъменье• величанье• вꙑсотъ• гръдость• отъ вѣка бо прѣꙁоривьство• и вси врѣди сѫть• и гл҃еть б҃ъ• не прѣбѹдеть дх҃ъ мои въ чл҃цѣхъ сихъ въ вѣкꙑ• ꙁане сѫть|
154d| плътѣни• ꙁълъихъ похотьи плъни• ꙗкоже и павлъ + порокѹꙗ галатꙑ гл҃еть• дх҃мь начънъше• нꙑнѣ плъ ++ ти си отъ похотии мирьскꙑихъ• ꙗко всѧ похоть воѭеть на дх҃ъ• сластолюбивое бо ср҃це• +++ стража• и веригꙑ д҃ши въ врѣмѧ исхода бѫдеть• а тврьдолюбивое дврьрь есть отврьста• похотьнꙑи бо врѣдъ• ꙁѧбль праꙁдьниꙗ есть• праꙁнь бо отъраждаеть похоть|+ кꙋдѧ     ++ тиѭ коньчаваѥте• добро ѹбо ѥсть ѥже въꙁбранѧ     +++ тьмьница ї ѫꙁꙑ:
155a| и лѣность• паче же и беꙁѹпъваньство• аште бо бꙑхомъ вѣдѣли ꙗко пришьльци есмъ на ꙁемли• и имѣли бꙑхомъ нꙑнѣшьнѧа тьльна• и мимотекѹшта нꙑ потокѹ тъчно• то не бꙑхомъ похотѣвали не нашихъ• малолѣтьнъихъ• нъ желали бꙑхомъ• сѫштиихъ по истинѣ нашихъ• прѣбꙑваѫштиихъ въ вѣкъ• сирѣчь еже съ х҃мь бꙑти• и наслаждати сѧ|
155b| сладости его и цр҃ства• таковѫѭ любовь имѫштеи• настоѧштааго вѣка всѧ богатьство рекѫ и славѫ• и сильство• и добротѫ тѣлесьнѫѭ• ꙗко ѹметꙑ мнѧть• и не можеть ничимьже прѣльстити ихъ кнѧꙁь вѣка сего• и оставити отъ дх҃вьнꙑ любъве• ꙗкоже и соломонъ рече• въжделаите прѣмѫдрости• да въ вѣкъ цр҃ьствѹете• въꙁиштѣте прѣмѫдрости• и исправите въ вѣдѣньи|
155c| раꙁѹмъ• и елико дрѹгое таково ѱано ѥсть• срамьнꙑихъ бо всѣхъ и тѹждиихъ отърицаеть не похотѣвати• ꙗкоже и въ малѣ некъде• по мноꙁѣ раꙁньствьи• междѭ добромь и ꙁъломь ѹкаꙁаꙗ рече• въꙁьми отъ себе самого всѧкѫ похоть ꙁълѹ• облѣци же сѧ въ желанье благо и чьстьно• облачаѧ бо сѧ въ похоть сьѭ• въꙁненавидиши ꙁълѹю похоть• и обѹꙁдаеши ꙗкоже хощи•|
155d| сверѣпа бо есть похоть ꙁълаа• и бѣдьнѣ ѹкротѣеть• страшьнѣиши бо есть• и ꙁѣло своимь сверѣпьемь погѹбить чл҃кꙑ• вънегда гл҃ати• сверѣпа есть похоть ꙁълаа• + ꙁнаменаеть ꙗко сама въꙁникъши• ꙗко дивьꙗ бꙑль ненадѣланѣ нивѣ• или ꙗко сверѣпо животъ• само о себѣ пасꙑ сѧ• бе-словесьна ѹмѣньꙗ• ктоже и какова есть• нъ тъчъѭ ꙁълаꙗ нъ и благаа похоть•|+ мѣнѧеть ꙗвлѧеть сѧ
156a| въ порѧдьи словомь иꙁвѣстѣ иꙁложить сѧ• да ꙗвѣ ꙗко ѹващьше сѧ всѧкоꙗ ꙁълꙑ похоти• поживемъ доброѫ и чьстьноѫ похотьѭ• тѣмьже дрѣво вѣдѣти раꙁѹмно добро• и ꙁълѹ приꙗтьно есть• еже чл҃кѹ приꙗтивѫ бꙑти• раꙁѹма добрѹ и ꙁълѹ• раꙁньство же ꙗвлѧеть• не да кто въкѹпѣ ꙁълоѥ съ добрꙑмь творити• нъ да творѧ доброе ѹклонить сѧ отъ ꙁълаго•|
156b| по г҃люштѹмѹ• ѹклони сѧ отъ ꙁъла и твори добро• прьвое ꙁаконъ повелѣваеть г҃лѧ• не похошти елико искрьнѧго твоего есть• ахавъ же прѣстѫпль ꙁаповѣдь сьѭ• похотѣ виноградѹ• навоттеѡвѹ• и правьдьника же ѹбо ѹби• себе же и домови своемѹ нанесе съмръть погꙑбѣль вѣчьнѹѭ• похотѣша же и людье похотѣниѫ въ пѹстꙑни• тѹ |
падоша156c| ѹди ихъ• гл҃еть же и притъчьникъ• вьсь нетѧжа въ похотехъ есть• рѫцѣ же въстанивъихъ въ прилежании• и пакꙑ• глѹмленье похоти пралагаеть ѹма неꙁълобивьна• и пакꙑ• нечьстивъи вьсь дьнь желаѥть желании ꙁълъ• а праведьнꙑи милѹеть и штедрѹеть благочьстьнѣ• и приводить да ти не ѹдолѣеть добротꙑ похоть• ни бѫди|
156d| ѹловленъ твоима вѣждама• непорочьнъи же иѡвъ• попьравъ врѣдъ похотьнъи гл҃еть• аште же и въ слѣдъ ока моего иде ср҃це мое• си ми дрѧселаа да сълѹчать сѧ• рече же и ап҃лъ петръ• въꙁлюблении• молю ꙗко пришьльцѧ• и страньнꙑ• ошаати сѧ плътьскрꙑихъ похотии ꙗже воюѭть на д҃шѭ• и павлъ• ѹмрьтвите ѹдъ вашѧ сѫштаꙗ на ꙁемли• любодѣаниѥ:|
157a| нечистотѫ• сласть• похоть ꙁьлю• не приꙁъва бо насъ б҃ъ на нечистотѫ нъ на свѧтьбѫ• да + цр҃юеть ѹбо грѣхъ въ мрьтвьнѣмь тѣлѣ нашемь• послѹшати похотии его• нъ облѣцѣмъ сѧ гм҃ь ис҃у х҃смь• и плъти ѹгодьꙗ не творите въ похоти• и па҇ⷦ• въ нихъже рече• вьси мъи жихомъ• иногда въ похотьхъ ср҃ць нашихъ• творѧштеи волѧ плъти• и помꙑшленьи своихъ• хотѧи ѹбо|+ не
157b| иꙁбѣгнѫти• тьлетворивꙑꙗ сеꙗ похоти• въводѧштаꙗ чл҃ка въ дьно адово• страха г҃нѧ да сътѧжить• страхъ бо г҃нь чистъ прѣбꙑваꙗи въ вѣкъ вѣка• и пакꙑ• пригвоꙁди страсѣ твоемь пльть моѭ• помꙑшлѧꙗ бо присно ѹмрьтвье• и огнь вѣчьнꙑи• и чръвь неѹсꙑпаѫштьи• и тьмѹ вѣчьнѹѫ• и плача и скрьжъта ꙁѹбьнаго• и стѹда оного бѫдѹштааго на страшьнѣмь|
157c| сѫдишти хв҃ѣ• прѣдъ ан҃глꙑ и чл҃кꙑ• раꙁдрѹшить гладость сластьнѫѭ• вьсѫ же похоть своѫ на б҃а прѣложить• + имѣмъ ѹбо въꙁлюблении• тѣлесьнъихъ и дх҃внъихъ трѹдъ• и похоть отъ насъ отидеть• похоти бо лѣниваго ѹбиваѭть• нерачита бо рѹцѣ его творити ничьсоже• д҃шелюбивъи же г҃ъ рече• аште око твоѥ десное• съблажнѧеть сѧ• иꙁьми ++ и іꙁврьꙁи|+ сѧжамъ емлѣмъ сѧ     ++ е
157d| отъ себе• ѹне бо ти е• да погꙑбнеть единъ ѹдъ твоихъ• а не все тѣло твое въврьжено бѫдеть въ геоньнѫ• еꙗже иꙁбавити нꙑ мл҃дѹмѹ б҃ѹ нашемѹ• томѹ слава въ вѣкꙑ вѣкомъ АМИН о҃д О ПРАВОСѪДЬСТВѢ : ∞ Хотѧштеи правьдьнѣ сѫдити• прьвоѥ ѹбо да просѧть|
