3563,кьнігъі
118,ста
98,іс
47,на
986,мѣстѣ
53 1196,ра|вьнѣ
15,і
824,народъ
4165,оученікь
102,его
15,і
2301,множьство
584,много
3487,людеі
74,отъ
4280,вьсеѧ
4494,іюдеѧ
2227 941,іер|лма
15,і
752 1775,помо|ріѣ
4069 110 382,ту|рь|ска
15,і
79 964 382,сі|донь|ска
118,ста
258,ісъ
47,на
986,мѣстѣ
2542 96,рав|нѣ
118,ста
98,іс
47,на
133 22,мѣ|с
182,іже
823,прідѫ
562 38,послоуша|тъ
102,его
15,і
1807 38,іцѣлі|тъ
57,сѧ
74,отъ
1091 300,недѫ|гь
686,своіхъ
15,і
3511 488,страждѫ|штіі
179,от
1091 300,недѫ|гь
686,своіхъ
1240 177,цѣлѣ|ахѫ
57,сѧ
182,іже
2331,прідошѧ
562 38,послоуша|тъ
102,его
15,і
1807 38,іцѣлі|тъ
57,сѧ
74,отъ
1091 300,недѫ|гь
371 8,своі|х
15,і
3511 488,страждѫ|штіі
74,отъ
647,дхъ
1226 80,нечі|стъ
1240 177,цѣлѣ|ахѫ
57,сѧ
15,і
39 131,въ|сь
824,народъ
3050,іскааше
3452 58,прікаса|ті
57,сѧ
286,емъ
86,ѣко
1573,сіла
144,із
426,него
3800,ісхождааше
15,і
2113 148,іцѣлѣ|аше
2186,всѧ
15,і
1107,весь
824,народъ
3050,іскааше
3452 58,прікаса|ті
57,сѧ
286,емъ
86,ѣко
1573,сіла
144,із
426,него
3800,ісхождааше
15,і
2869 32 94 2152,іцѣ|ѣ|лѣ|вааше
530,вьсѧ
15,і
38,тъ
143 101 33,въз|ве|д
437,очі
371,своі
47,на
1060,оученікъі
504,своѧ
766,глааше
1701,блажені
3565,ніштіі
4085,дхомъ
86,ѣко
580,ваше
140,естъ
2405,црство
4647 373,нбсъ|ное
1701,блажені
1333 668 488,ал|чѫ|штіі
377,нъінѣ
86,ѣко
58,ті
4931,насъітѧтъ
57,сѧ
1701,блажені
2021 488,плачѫ|штіі
57,сѧ
4613,ннѣ
86,ѣко
394 133 351,въс|мѣ|ете
57,сѧ
1701,блажені
950,бѫдете
246,егда
143 2111 31,въз|ненавідѧ|т
138,въі
4452,члці
15,і
246,егда
2944 249 31,разлѫ|чѧ|т
138,въі
15,і
135 46 331,про|не|сѫтъ
385,імѧ
580,ваше
86,ѣко
2372,зьло
560,сна
269 4413,чл|чѣ
290,раді
2047 334,въздрадоу|іте
57,сѧ
39,въ
38,тъ
661,день
15,і
143 15 254 334,въз|і|гра|іте
75,се
3295 55,мьз|да
64 1,ва|ш
891,многа
47,на
1358 8,нбс|х
47,на
1030 22 62,неб|с|хъ
242,ѣкоже
1368,хоштете
55,да
1415,творѧтъ
207,вамъ
4452,члці
15,і
138,въі
1192,творіте
114,імъ
830,такожде
15,і
163,аште
2349,любіте
2303 567,любѧ|штѧѧ
138,въі
1678,каѣ
207,вамъ
3363,хвала
140,естъ
1383,ібо
15,і
1615 475,грѣшъ|ніці
2303 567,любѧ|штѧѧ
660 167,люб|ѧтъ
15,і
163,аште
293 1192,благо|творіте
293 619 488 13,благо|творѧ|штіі|м
207,вамъ
1678,каѣ
207,вамъ
3363,хвала
140,естъ
1383,ібо
15,і
3840,грѣшьніці
2348,тожде
1415,творѧтъ
15,і
163,аште
39,въ
107 286,за|емъ
55 351,да|ете
179,от
43 8 41,ні|х|же
185 351,ча|ете
39,въ
22 1361,с|пріѧті
1678,каѣ
207,вамъ
3363,хвала
140,естъ
1383,ібо
15,і
1615 475,грѣшъ|ніці
1615 1475,грѣшъ|нікомъ
39,въ
107 286,за|емъ
55 241,да|ѭтъ
55,да
394 3091,въс|пріімѫтъ
53 3712,ра|въно
1082,обаче
2349,любіте
1984,врагъі
1820,вашѧ
15,і
576,добро
1192,творіте
114,імъ
15,і
39,въ
107 114,за|імъ
1817,дадіте
1150,нічесоже
46,не
185 310,ча|ѭште
15,і
273,бѫдетъ
2142 55,мъз|да
1389,ваша
891,многа
15,і
950,бѫдете
2832,снове
4387 2030,въішъ|нѣаго
86,ѣко
38,тъ
2116,благъ
140,естъ
47,на
46 143 293,не|въз|благо
91 38 387,дѣ|тъ|нъіѧ
15,і
198 344 23,зь|лъі|ѧ
2247,бѫдѣте
2799 439 73,мл|ср|ді
86,ѣко
15,і
638,оць
64 1,ва|ш
2799 439 95,мл|ср|дъ
140,естъ
1576,въніде
258,ісъ
39,въ
2327 20 47 918,капе|р|на|оум
131 128 2190,сь|ть|нікоу
41,же
10 63 159,е|де|роу
4421,рабь
1998,зьлѣ
1792,болѧ
2700 148,оуміра|аше
182,іже
103,бѣ
119,емоу
153 194 68,чь|сте|нъ
788,слъішавъ
41,же
11,о
2153,ісѣ
374,посъла
260,кь
321,немоу
1477 440,стар|цѧ
154 33 1143,лю|д|скъіѧ
1311,молѧ
15,і
55,да
746,прішедъ
2110 38,спсе|тъ
1147,раба
102,его
493,оні
41,же
1913,прішедъше
260,кь
1267,ісві
1208 177,млѣ|ахѫ
15,і
128 513 69,ть|штъ|но
1246,глште
119,емоу
86,ѣко
160 574,сто|інъ
140,естъ
234,еже
163,аште
55 79,да|сі
119,емоу
2422,любітъ
66,бо
1562,ѧзъікъ
1922,нашь
15,і
3746 84,сьньмі|ште
128,ть
131 198 55,сь|зь|да
378,намъ
258,ісъ
41,же
1437,ідѣаше
131,сь
864,німі
721,еште
41,же
119,емоу
478 251,ідѫ|штоу
131,сь
864,німі
46,не
1093,далече
1423,сѫштоу
179,от
643,домоу
374,посъла
260,кь
321,немоу
131 128 301,сь|ть|нікъ
926 49,дроуга|го
350,глѧ
119,емоу
222,гі
46,не
522 111,дві|жі
57,сѧ
1915,нѣсмъ
66,бо
1488,достоінъ
55,да
714,подъ
577 39,кро|въ
250,моі
1576 106,въніде|ші
1083,тѣмь
41,же
43,ні
868,себе
855 47,достоі|на
2857,сътворіхъ
1199,пріті
260,кь
281,тебѣ
68 1148,нъ|рьці
4250,словомь
2113 217,іцѣлѣ|етъ
681 260,отро|кь
250,моі
582,азь
66,бо
1119,члкъ
473,есмъ
714,подъ
348 194 61,вла|сте|лі
379 1617,оучі|ненъ
15,і
2875,імѣѧ
714,подъ
1200,собоѭ
4345,воінъі
15,і
223,глѭ
903,семоу
733,іді
15,і
976,ідетъ
15,і
4021,дроугоумоу
2594,пріді
15,і
338 31,пріде|т
15,і
2230,рабоу
1598,моемоу
2798,сьтворі
75,се
15,і
1484,сътворітъ
788,слъішавъ
41,же
75,се
258,ісъ
4845,чоуді
57,сѧ
119,емоу
15,і
515 513,обра|штъ
57,сѧ
770 181 4194,послѣ|доу|ѭштоумоу
1945,народоу
120,рече
573,амін
223,глѭ
2271,вам
43,ні
39,въ
2652,ізлі
1317 130,толі|къі
867,вѣръі
1234,обрѣтъ
15,і
656 513 71,възвра|штъ|ше
57,сѧ
39,въ
403,домъ
3030 220,посьла|ніі
2581,обрѣтѫ
1792 1004,болѧ|штааго
1147,раба
2113 703,іцѣлѣ|въша
1437,ідѣаше
258,ісъ
39,въ
533,градъ
2506,наріцаемъі
47 574,на|інъ
15,і
131,сь
409,німъ
3510,ідѣахѫ
465,оученіці
102,его
15,і
824,народъ
2118,мъногъ
86,ѣко
41,же
1408 99,прібліжі|шѧ
57,сѧ
260,кь
240 81 13,вра|то|м
698,града
15,і
75,се
144 69 2828,із|но|шаахѫ
4079 20 139,оуме|р|ша
560,сна
431 1297,едіно|чѧда
13 464,м|трі
1339,своеі
15,і
116,та
103,бѣ
39 691,въ|дова
15,і
824,народъ
179,от
698,града
103,бѣ
2133 300,мьно|гь
131,сь
2520,неѭ
15,і
553,відѣвъ
2,ѭ
300,гь
2799 439 691,мл|ср|дова
2,ѭ
15,і
120,рече
444,еі
46,не
476 149 57,пла|чі|сѧ
15,і
3448,прістѫпль
1278,коснѫ
57,сѧ
39,въ
2384,одръ
1097 601,носѧ|штеі
41,же
3664,сташѧ
15,і
120,рече
1497 71,юно|ше
281,тебѣ
223,глѭ
2002,въстані
15,і
2776,сѣде
716 524,мрът|въіі
15,і
776 31,начѧ|т
1188,глаті
1308,пріѧтъ
41,же
238 8,стра|х
530,вьсѧ
15,і
209 491 177,сла|влѣ|ахѫ
193,ба
1246,глште
86,ѣко
4314,прркъ
2633,веліі
368,въста
39,въ
594,насъ
15,і
86,ѣко
3569,посѣті
300,гь
189,бъ
2599,людіі
686,своіхъ
1689,молѣаше
10 63 92,е|де|ръ
1254,фарісеі
296,іса
55,да
141,бі
32 121,ѣ|лъ
131,сь
595,німь
15,і
1730,въшедъ
39,въ
403,домъ
3661 2265,фарісе|ов
143 2576,въз|леже
1689,молѣаше
351 20,ете|р
15,і
75,се
683,жена
39,въ
1260,градѣ
407,ѣже
103,бѣ
1615 1646,грѣшъ|ніца
3952,відѣвъші
15,і
86,ѣко
143 3224,въз|лежітъ
39,въ
2994 96,храмі|нѣ
3661 4573,фарісе|овѣ
791 131 106,пріне|сь|ші
16 56 64 1051,а|ла|ва|стръ
704,міра
15,і
118 682,ста|въші
131 107 73,сь|за|ді
78,прі
2079,ногоу
102,его
476 249 150,пла|чѧ|шті
57,сѧ
1037,начѧтъ
2824,слъзамі
11 105 97 58,о|ма|ка|ті
888,нозѣ
102,его
15,і
3483,власъі
1589,главъі
1098,своеѧ
722 53 148,оті|ра|аше
15,і
3656 148,облобъіза|аше
888,нозѣ
102,его
15,і
105 4817,ма|зааше
1504 1948,му|ромъ
553,відѣвъ
41,же
1254,фарісеі
2370 138,зьва|въі
102,его
120,рече
39,въ
356,себѣ
350,глѧ
131,сь
163,аште
141,бі
1692,бъілъ
4314,прркъ
288 121,вѣдѣ|лъ
141,бі
180,оубо
4099,кьто
15,і
280 64,како|ва
683,жена
407,ѣже
3452 217,прікаса|етъ
57,сѧ
286,емъ
86,ѣко
875 1646,грѣшь|ніца
140,естъ
474,отъвѣштавъ
41,же
258,ісъ
120,рече
119,емоу
2968,сімоне
985,імамъ
58,ті
4509,нѣчто
1222,решті
274,онъ
41,же
120,рече
1120,оучітелю
1148,рьці
819,дъва
3340 1077,длъжь|ніка
5006,бѣсте
107 15 67 1269 568,за|і|мо|давъ|цоу
351 159,ете|роу
358,едінъ
4256,длъженъ
103,бѣ
419 1115,пѧ|тіѭ
131 38,сь|тъ
73 47 110,ді|на|рь
16,а
769,дроугъі
419 1115,пѧ|тіѭ
1547,десѧтъ
46,не
418 3074,імѫ|штема
41,же
202,іма
1122,чесо
39 645,въ|даті
2591,обѣма
74 307,отъ|дастъ
3640,которъі
41,же
1695,ею
180,оубо
458,паче
2192 38,вьзлюбі|тъ
102,его
474,отъвѣштавъ
41,же
1628,сімонъ
120,рече
46 332 251 2,не|пъ|штоу|ѭ
86,ѣко
862,емоуже
2133 221 10,мьно|жа|е
74 307,отъ|дастъ
274,онъ
41,же
120,рече
119,емоу
484,правь
734 121,сѫді|лъ
243,есі
15,і
515 513,обра|штъ
57,сѧ
260,кь
2254,женѣ
3032,сімоноу
120,рече
1666,відіші
61,лі
1275,сіѭ
1174,женѫ
715 2938,въні|дохъ
39,въ
403,домъ
386,твоі
2315,водъ
47,на
888,нозѣ
250,моі
46,не
307,дастъ
79,сі
41,же
2824,слъзамі
3822 149,омо|чі
888,нозѣ
250,моі
15,і
3483,власъі
923,своімі
179 92,от|ръ
88 215 107 236,ло|бь|за|ніѣ
89,мі
183,тъі
46,не
307,дастъ
79,сі
41,же
179,от
46 61,не|лі
715 95,въні|дъ
46,не
1593,прѣста
3656 1371,облобъіза|ѭшті
888,нозѣ
250,моі
3086 286,олѣ|емъ
1589,главъі
1078,моеѧ
46,не
1986,помаза
79,сі
41,же
1504 44,му|мъ
1986,помаза
888,нозѣ
250,моі
102,его
41,же
290,раді
223,глѭ
58,ті
3843,отъпоуштаѭтъ
57,сѧ
444,еі
765 15,мнозі|і
2514,грѣсі
86,ѣко
2192,вьзлюбі
584,много
16,а
862,емоуже
87 46,мь|не
179 2614 217,от|поушта|етъ
57,сѧ
2673 106 792,мень|ші|імі
2422,любітъ
120,рече
41,же
444,еі
179 2614 241,от|поушта|ѭтъ
57,сѧ
281,тебѣ
2514,грѣсі
386,твоі
15,і
2623,начѧшѧ
2671 601,възлежѧ|штеі
131,сь
595,німь
1188,глаті
39,въ
356,себѣ
292,кто
140,естъ
131,сь
86,ѣко
15,і
1627,грѣхъі
1743 217,отъпоушта|етъ
120,рече
41,же
260,кь
2254,женѣ
2505,вѣра
454,твоѣ
2110,спсе
229,тѧ
733,іді
39,въ
569,міръ
708,ізіде
4788,сѣѧі
122 450,сѣ|атъ
3508,сѣмене
435,своего
15,і
246,егда
41,же
122 148,сѣ|аше
10,е
1462,ово
879,паде
78,прі
702,пѫті
15,і
51 287 4913,по|пь|рано
2889,бъість
15,і
4024,птіцѧ
1358 387,нбс|нъіѧ
2090 604 99,поз|оба|шѧ
10,е
16,а
3524,дроугое
879,паде
47,на
2892,камені
15,і
3087 215,прозѧ|бь
2358 71,оусъ|ше
1006,зане
46,не
1664,імѣаше
348 203,вла|гъі
16,а
3524,дроугое
879,паде
51,по
883,срѣдѣ
328 236,тръ|ніѣ
15,і
963 194,въздра|сте
328 161,тръ|ніе
15,і
1315 70,пода|ві
10,е
16,а
3524,дроугое
879,паде
47,на
611,земі
800,добрѣ
15,і
3087 215,прозѧ|бь
2798,сьтворі
1021,плодъ
2915 2947,съто|ріцеѭ
2486,въпрашаахѫ
41,же
15,і
465,оученіці
102,его
1246,глште
268,что
140,естъ
4143 185,пріть|ча
79,сі
274,онъ
41,же
120,рече
114,імъ
2271,вам
2537,дано
140,естъ
4670,вѣдѣті
695 108,таі|нъі
393 361 16,цр|стві|а
1179,бжіѣ
16,а
3231 114,прочі|імъ
39,въ
2031 8,прітъча|х
55,да
2288,відѧште
46,не
1764,відѧтъ
15,і
46,не
2490,разоумѣѭтъ
822 1067,срд|цемъ
140,естъ
41,же
2031,прітъча
79,сі
1882,сѣмѧ
140,естъ
364,слово
1014,бжіе
16,а
234,еже
78,прі
702,пѫті
495,сіі
331,сѫтъ
969 488,слъішѧ|штіі
364,слово
15,і
51,по
774,томъ
669,прідетъ
73 16 52 121,ді|а|во|лъ
15,і
737 1597,възь|метъ
364,слово
74,отъ
822 282,срд|ць
2418,іх
55,да
46,не
867,вѣръі
3985,емъше
2110 43,спсе|ні
705,бѫдѫтъ
16,а
234,еже
47,на
2892,камені
182,іже
246,егда
2201,слъішѧтъ
54,съ
2387,радостіѭ
771 237 38,пріем|лѫ|тъ
364,слово
15,і
79,сі
4157,корене
46,не
831,імѫтъ
182,іже
39,въ
666,врѣмѧ
713,вѣрѫ
521 2053,ем|лѭтъ
15,і
39,въ
666,врѣмѧ
4843,напасті
11 339 127 241,о|стѫ|па|ѭтъ
16,а
1163 3446,падъ|шее
39,въ
328 43,тръ|ні
495,сіі
331,сѫтъ
969 488,слъішѧ|штіі
15,і
74,отъ
761 1076,печа|ліі
1776 675,богатъ|ства
15,і
209 115,сла|сті
644 1301 23,жіті|іскъі|ѧ
4870,ходѧште
1315 491 241,пода|влѣ|ѭтъ
57,сѧ
15,і
46,не
90,до
230 298,връ|ха
1367,плода
1415,творѧтъ
16,а
182,іже
47,на
800,добрѣ
956,землі
495,сіі
145 31,сѫ|т
182,іже
576 44,добро|мъ
822 25 44,срд|ц|мъ
15,і
293 44,благо|мъ
4276,слъішѧште
364,слово
2016 31,дръжѧ|т
15,і
1021,плодъ
1415,творѧтъ
39,въ
1748 220,тръпѣ|ніі
79,сі
350,глѧ
1813,възгласі
2584,імѣѧі
1259,оуші
1766,слъішаті
55,да
2335,слъішітъ
615,нікто
41,же
2143 1077,свѣтіль|ніка
39 41 195,въ|же|гъ
2147 3912,покръі|ваетъ
15,і
22 145 403,с|сѫ|домъ
61,лі
714,подъ
11 826 44,о|дро|мъ
2065 217,полага|етъ
15,і
68,нъ
47,на
341 304 301,свѣ|шть|нікъ
143 1125 241,въз|лага|ѭтъ
55,да
2216 488,въходѧ|штіі
1764,відѧтъ
818,свѣтъ
635,ніктоже
2143 1077,свѣтіль|ніка
39 41 27,въ|же|г
481,нѣстъ
66,бо
4814,таіно
234,еже
46,не
5023,авітъ
57,сѧ
43 37 116 4572,ні|оу|та|ено
234,еже
46,не
273,бѫдетъ
865 69,позна|но
15,і
39,въ
32 2997,ѣ|вленіе
669,прідетъ
2551,блюдѣте
57,сѧ
180,оубо
280,како
2629,слъішіте
182,іже
66,бо
489,іматъ
307,дастъ
57,сѧ
119,емоу
16,а
182,іже
46,не
489,іматъ
15,і
234,еже
2451,мьнітъ
57,сѧ
1166,імъі
15,і
81,то
4244 81,възѧ|то
273,бѫдетъ
74,отъ
426,него
823,прідѫ
41,же
260,кь
321,немоу
1102,маті
15,і
2950,братіѣ
102,его
15,і
46,не
4827,можаахѫ
1071 2715,бесѣ|доваті
1752,народомъ
15,і
3692,възвѣстішѧ
119,емоу
1246,глште
2876,мті
454,твоѣ
15,і
2950,братіѣ
454,твоѣ
39 96,въ|нѣ
4547,стоѧтъ
886,відѣті
229,тѧ
2661,хотѧште
274,онъ
41,же
474,отъвѣштавъ
120,рече
1846,ім
2876,мті
460,моѣ
15,і
235 31,бра|т
460,моѣ
495,сіі
331,сѫтъ
969 488,слъішѧ|штіі
364,слово
1014,бжіе
15,і
3598 150,хранѧ|шті
10,е
15,і
3598 488,хранѧ|штіі
10,е
2617 199,вълѣ|зе
258,ісъ
39,въ
744 189,кора|бъ
15,і
465,оученіці
102,его
15,і
120,рече
260,кь
409,німъ
109 2386,прѣ|ідѣмъ
47,на
274,онъ
1532,полъ
2935 76,езе|рѣ
15,і
109 478,прѣ|ідѫ
478 711,ідѫ|штемъ
41,же
114,імъ
4162,оусьпе
15,і
2474 63,сьні|де
347 76,боу|рѣ
2839 47,вѣтръ|на
39,въ
2935 100,езе|ро
15,і
1239 9 185 2737,іско|н|ча|ваахѫ
57,сѧ
15,і
60 56 177,вь|ла|ахѫ
57,сѧ
3448 71,прістѫпль|ше
41,же
4103 1644,възбоу|дішѧ
15,і
1246,глште
4580 72,наставьні|че
1468 117 44,погъіб|ле|мъ
274,онъ
41,же
1165,въставъ
1416,запрѣті
59 598,вѣ|троу
15,і
1130 46 588,влъ|не|нію
2315 1930,водъ|ноумоу
15,і
37 2576,оу|леже
15,і
649,бъіс
58 106 47,ті|ші|на
15,і
120,рече
114,імъ
3755,кьде
140,естъ
2505,вѣра
1389,ваша
1386 248,оубоѣ|въше
41,же
57,сѧ
405 1644,чоу|дішѧ
57,сѧ
1246,глште
260,кь
356,себѣ
4099,кьто
180,оубо
131,сь
140,естъ
86,ѣко
59 596 13,вѣ|тро|м
3649,велітъ
15,і
2078,водѣ
15,і
3694,послоушаѭтъ
102,его
15 71 126 284,і|ше|дь|шоу
925,ісоу
47,на
1198,землѭ
152 55 85 9 1033,га|да|рі|н|скѫ
3929,сьрѣте
15,і
1019,мѫжь
1245,етеръ
74,отъ
698,града
182,іже
1664,імѣаше
857,бѣсъ
74,отъ
197 27,мно|г
1483,лѣтъ
15,і
39,въ
3038,різѫ
46,не
717 1447,обла|чааше
57,сѧ
15,і
39,въ
467 133,хра|мѣ
46,не
3921,жівѣаше
68,нъ
39,въ
527 1675,гро|бѣхъ
4745,оузьрѣвъ
41,же
296,іса
15,і
737 4946,възь|півъ
3785,пріпаде
83,къ
321,немоу
15,і
2827 44,глас|мъ
267 286,велі|емъ
120,рече
411,чьто
140,естъ
343,мьнѣ
15,і
281,тебѣ
3651,ісе
3144,сне
193,ба
4689,жівааго
2469 58,молѭ|ті
57,сѧ
46,не
1137,мѫчі
227,мене
4485,прѣштааше
66,бо
1954 70,дх|ві
1226 4604,нечі|стоумоу
3607,ізіті
74,отъ
2100,члка
706,многъі
66,бо
94 183,лѣ|тъі
51 519 116 148,по|хъі|та|аше
15,і
15,і
848 177,вѧза|ахѫ
15,і
3339,ѫжі
1821 198 1923,желѣ|зь|нъіімі
15,і
372 183,пѫ|тъі
3222 84,стрѣгѫ|ште
15,і
15,і
3903 152 23,растръ|га|ѧ
2619,ѫзъі
49 409,го|німъ
3782,бъівааше
3256,бѣсомъ
4659,скозѣ
4097,поустъінѭ
995,въпросі
41,же
15,і
258,ісъ
350,глѧ
2937,ако
58,ті
385,імѧ
140,естъ
274,онъ
41,же
120,рече
4402 274,леге|онъ
86,ѣко
2413,бѣсі
765,мнозі
3810,вънідѫ
39,въ
104,нь
15,і
3836,молішѧ
15,і
55,да
46,не
2446 38,повелі|тъ
114,імъ
39,въ
4806 147,бездъ|нѫ
741,іті
103,бѣ
41,же
247,тоу
2555,стадо
1023 220,сві|ніі
584,много
127 178 67,па|со|мо
39,въ
1663,горѣ
15,і
13 3904,м|лішѧ
15,і
55,да
2446 38,повелі|тъ
114,імъ
40,ъі
2499,въніті
15,і
370,повелѣ
15,і
15,і
4075,ішедъше
2413,бѣсі
179,от
2100,члка
3810,вънідѫ
39,въ
4723,свініѧ
15,і
4018 89,оустръ|мі
57,сѧ
2555,стадо
51,по
1745 256,брѣ|гоу
39,въ
2935 100,езе|ро
15,і
1865 211,істо|пе
989,відѣвъше
41,же
127 3984,па|сѫштіі
3161,бъівъшее
3740,бѣжашѧ
15,і
3692,възвѣстішѧ
39,въ
1260,градѣ
15,і
39 4646,въ|селѣхъ
15,і
2548,ізідѫ
2702,відѣтъ
3620,бъівъшааго
15,і
823,прідѫ
260,кь
1267,ісві
15,і
2581,обрѣтѫ
2100,члка
3298,сѣдѧшта
144,із
426,него
41,же
2413,бѣсі
2548,ізідѫ
151 121 3688,об|лъ|чена
15,і
2710 3908 129,съмъі|слѧ|шта
78,прі
2079,ногоу
98 324,іс|воу
15,і
2971,оубоѣшѧ
57,сѧ
1689,молѣаше
41,же
57,сѧ
119,емоу
1019,мѫжь
144,із
2775,негоже
2413,бѣсі
2548,ізідѫ
55,да
141,бі
131,сь
409,німъ
1692,бъілъ
4414,отпоусті
41,же
15,і
258,ісъ
350,глѧ
916,възвраті
57,сѧ
39,въ
90 13,до|м
386,твоі
15,і
376 15,повѣда|і
685,еліко
58,ті
212,сътворі
189,бъ
15,і
259,іде
51,по
39 903,въ|семоу
3297,градоу
376 23,повѣда|ѧ
685,еліко
212,сътворі
119,емоу
258,ісъ
853,чкъ
1245,етеръ
338,пріде
260,кь
1267,ісві
3207,іменемъ
16 15 92,а|і|ръ
15,і
38,тъ
3600 198,кьнѧ|зь
3746 251,сьньмі|штоу
103,бѣ
15,і
1163,падъ
78,прі
2079,ногоу
98 324,іс|воу
1689,молѣаше
15,і
39,въ
403,домъ
371,своі
2499,въніті
86,ѣко
126 150,дь|шті
431 1297,едіно|чѧда
119,емоу
103,бѣ
86,ѣко
126 2419,дь|вою
47,на
684,десѧте
3167,лѣтоу
15,і
116,та
2700 148,оуміра|аше
246,егда
41,же
1437,ідѣаше
4023,ісь
1178,народі
37 413 3580,оу|гнѣ|таахѫ
15,і
15,і
75,се
683,жена
2589,сѫшті
39,въ
81 4975,то|ченіі
1360,кръве
74,отъ
3809,двою
47,на
684,десѧте
3167,лѣтоу
407,ѣже
240 2392,вра|чемъ
144 55 32 60 106,із|да|ѣ|вь|ші
1085,въсе
2902,імѣніе
340,свое
15,і
43,ні
179,от
812,едіного
41,же
333,може
2113 58,іцѣлѣ|ті
1430 106,прістѫпь|ші
41,же
54,съ
107 73,за|ді
1278,коснѫ
57,сѧ
535 85 1076,въск|рі|ліі
1109,різъі
102,его
15,і
503,абіе
118,ста
65 1420,те|ченіе
1360,кръве
758,еѧ
15,і
120,рече
258,ісъ
292,кто
1959,прікоснѫ
57,сѧ
485,мнѣ
3447 1555,отъмѣта|ѭштемъ
41,же
57,сѧ
840 44,въсѣ|мъ
120,рече
700,петръ
15,і
182,іже
692,бѣахѫ
131,сь
409,німъ
2323 715 72,наста|въні|че
1178,народі
37 58 382 241,оу|ті|ска|ѭтъ
229,тѧ
15,і
1632 2973,гне|тѫтъ
15,і
1390,глеші
292,кто
140,естъ
1959 138,прікоснѫ|въі
57,сѧ
485,мнѣ
258,ісъ
41,же
120,рече
1959,прікоснѫ
57,сѧ
485,мнѣ
96,нѣ
292,кто
582,азь
66,бо
405 62,чоу|хъ
1337,сілѫ
15 71 772,і|ше|дшѫ
144,із
227,мене
15,і
3952,відѣвъші
41,же
47,на
86,ѣко
46,не
3542 57,оутаі|сѧ
1201 389 150,трепе|штѫ|шті
3785,пріпаде
15,і
1163 106,падъ|ші
1602,прѣдь
409,німъ
107,за
3850,нѭже
4091,вінѫ
1959,прікоснѫ
57,сѧ
286,емъ
376,повѣда
319,прѣдъ
39,въ
122 89,сѣ|мі
4656,людьмі
15,і
86,ѣко
2113,іцѣлѣ
503,абіе
258,ісъ
41,же
120,рече
444,еі
3332 15,дръза|і
126 150,дь|шті
2505,вѣра
454,твоѣ
2110,спсе
229,тѧ
733,іді
39,въ
569,міръ
721,еште
41,же
119,емоу
155 251,гл|штоу
338,пріде
1245,етеръ
179,от
2268 1346 152,су|наго|га
350,глѧ
119,емоу
86,ѣко
1034 1578,оумъ|рѣтъ
126 150,дь|шті
454,твоѣ
46,не
522 111,дві|жі
2690,оучітелѣ
258,ісъ
41,же
788,слъішавъ
255,отъвѣшта
119,емоу
350,глѧ
46,не
2439,боі
57,сѧ
4126,тъкьмо
4278,вѣроуі
15,і
2110 47,спсе|на
273,бѫдетъ
1582 33,пріше|д
41,же
39,въ
403,домъ
15,і
46,не
55,да
1567,нікомоуже
2499,въніті
54,съ
1200,собоѭ
4126,тъкьмо
4858,петроу
15,і
1455 210,іоан|ноу
15,і
3128 324,іако|воу
15,і
1603,оцоу
2905 440,отрокові|цѧ
15,і
13 464,м|трі
4633 177,ръіда|ахѫ
41,же
399,вьсі
15,і
1436 177,плака|ахѫ
57,сѧ
758,еѧ
274,онъ
41,же
120,рече
46,не
476 149 65,пла|чі|те
57,сѧ
481,нѣстъ
3196 56,оумръ|ла
3049,дѣвіца
68,нъ
131 1832,сь|пітъ
15,і
4201,рѫгаахѫ
57,сѧ
119,емоу
4213,вѣдѫште
86,ѣко
3200,оумьрѣтъ
274,онъ
41,же
4747 39,ізгьна|въ
530,вьсѧ
15,і
114,імъ
107,за
944,рѫкѫ
1813,възгласі
2,ѭ
350,глѧ
2905 233,отрокові|це
2002,въстані
15,і
916,възвраті
57,сѧ
647,дхъ
758,еѧ
15,і
535 20 75,въск|р|се
503,абіе
15,і
370,повелѣ
645,даті
444,еі
1146,ѣсті
15,і
1068 178 194,оужа|со|сте
57,сѧ
2373,родітелѣ
758,еѧ
274,онъ
41,же
1416,запрѣті
202,іма
1567,нікомоуже
376 58,повѣда|ті
3620,бъівъшааго
15,і
131 2370 39,сь|зьва|въ
604,оба
47,на
684,десѧте
2109,оученіка
1410,своѣ
307,дастъ
114,імъ
1337,сілѫ
15,і
1184,власть
47,на
1852,всѣхъ
103 2789,бѣ|сѣхъ
15,і
3846,недѫгъі
3735,цѣліті
78 2370 39,прі|зьва|въ
258,ісъ
604,оба
47,на
684,десѧте
2109,оученіка
1410,своѣ
307,дастъ
114,імъ
1337,сілѫ
15,і
1184,власть
47,на
224 8,вьсѣ|х
103 2789,бѣ|сѣхъ
15,і
46,не
146 203,дѫ|гъі
3735,цѣліті
15,і
374,посъла
23,ѧ
3799,проповѣдаті
3073,црствіе
1014,бжіе
15,і
3735,цѣліті
4818,болѧштѧѧ
15,і
3030,посьла
23,ѧ
3799,проповѣдаті
2405,црство
1014,бжіе
15,і
162 245 567,цѣ|лѧ|штѧѧ
15,і
120,рече
260,кь
409,німъ
3853,нічьтоже
46,не
4553,вьзьмѣте
47,на
372 31,пѫ|т
43,ні
206 1027,жь|зла
43,ні
170 239,пі|ръі
43,ні
2052,хлѣба
43,ні
131 1977,сь|ребра
43,ні
126 2419,дь|вою
