3802,<wb>кьнігъі
4332 143,<wb>ісво|ма
441,<wb>глѧ
3117,<wb>ізіді
221,<wb>от
364,<wb>мене
99,<wb>ѣко
2545,<wb>мѫжъ
386 2018,<wb>грѣ|шенъ
568,<wb>есмъ
300,<wb>гі
3891,<wb>оужасъ
112,<wb>бо
1677 1231,<wb>одръ|жааше
39,<wb>і
39,<wb>і
2415,<wb>всѧ
227,<wb>іже
812,<wb>бѣахѫ
75,<wb>съ
528,<wb>німъ
47,<wb>о
5531 3513,<wb>лові|твѣ
3638,<wb>ръібъ
858,<wb>ѧже
3331,<wb>ѧсѧ
964,<wb>такожде
39,<wb>і
3234 103,<wb>іако|ва
39,<wb>і
1443,<wb>іоана
732,<wb>сна
4513,<wb>зеведеова
494,<wb>ѣже
5480,<wb>бѣсте
162 11 383 875,<wb>об|е|шть|ніка
796 2893,<wb>сімо|нові
39,<wb>і
141,<wb>рече
150,<wb>къ
159 274,<wb>сі|ноу
331,<wb>ісъ
62,<wb>не
2496,<wb>боі
70,<wb>сѧ
221,<wb>от
1831,<wb>селѣ
2062,<wb>бѫдеші
4129,<wb>члкъі
874 381,<wb>ло|вѧ
2383 7365,<wb>ізве|зъше
2100 137,<wb>кораб|лъ
68,<wb>на
1403,<wb>землѭ
39,<wb>і
405 340,<wb>оста|въше
960,<wb>въсе
56,<wb>въ
1465,<wb>слѣдъ
135,<wb>его
674,<wb>ідѫ
165,<wb>бѣ
1408,<wb>оучѧ
331,<wb>ісъ
39,<wb>і
812,<wb>бѣахѫ
6611,<wb>сѣдѧште
1325,<wb>фарісеі
39,<wb>і
3268 42 185 1691,<wb>законо|оу|чі|теле
227,<wb>іже
812,<wb>бѣахѫ
7285,<wb>прішьлі
221,<wb>от
4778,<wb>въсѣхъ
1355 16,<wb>въсі|і
1703 854,<wb>галілеі|скъ
39,<wb>і
2458,<wb>іюдеіскъ
39,<wb>і
84,<wb>отъ
1112 191 23 1061,<wb>іе|роу|с|лма
39,<wb>і
1850,<wb>сіла
717,<wb>гнѣ
165,<wb>бѣ
4068 24,<wb>цѣліті|ѧ
39,<wb>і
121,<wb>се
2548,<wb>мѫжі
6024,<wb>носѧште
68,<wb>на
4704,<wb>одрѣ
2316,<wb>члка
227,<wb>іже
165,<wb>бѣ
7246,<wb>ослабленъ
39,<wb>і
2446,<wb>іскаахѫ
2309 147,<wb>въне|сті
39,<wb>і
39,<wb>і
4799,<wb>положіті
39,<wb>і
396,<wb>прѣдъ
528,<wb>німъ
39,<wb>і
62,<wb>не
472 32 82,<wb>обрѣ|т|ше
3794,<wb>кѫдоу
2309 147,<wb>въне|сті
1674,<wb>народа
368,<wb>раді
160 6851 82,<wb>въз|лѣзь|ше
68,<wb>на
3485,<wb>храмъ
5212,<wb>скозѣ
4069 113 209,<wb>скѫ|дъ|лъі
122 312 87 3169,<wb>ні|зь|вѣ|сішѧ
39,<wb>і
75,<wb>съ
874 2877,<wb>ло|жемъ
135,<wb>его
67,<wb>по
1549,<wb>срѣдѣ
396,<wb>прѣдъ
566,<wb>іса
39,<wb>і
649,<wb>відѣвъ
827,<wb>вѣрѫ
299,<wb>іхъ
141,<wb>рече
345 83,<wb>чл|че
2818 145 304,<wb>отпоу|шта|ѭтъ
70,<wb>сѧ
356,<wb>тебѣ
2812,<wb>грѣсі
462,<wb>твоі
39,<wb>і
2911,<wb>начѧшѧ
2232 52,<wb>помъішлѣ|ті
6649,<wb>кьніжьніці
39,<wb>і
1325,<wb>фарісеі
1440,<wb>глште
523,<wb>кто
161,<wb>естъ
190,<wb>сь
227,<wb>іже
1561,<wb>глетъ
7356,<wb>власвіміѭ
523,<wb>кто
819,<wb>можетъ
2818 3640,<wb>отпоу|штаті
1806,<wb>грѣхъі
2172,<wb>тъкъмо
438,<wb>едінъ
443,<wb>бъ
2654,<wb>разоумѣвъ
71,<wb>же
331,<wb>ісъ
4194,<wb>помъішленіѣ
299,<wb>іхъ
5264,<wb>отвѣштавъ
141,<wb>рече
210,<wb>імъ
394,<wb>что
2232 661 54,<wb>помъішлѣ|ете|те
56,<wb>въ
3636 193,<wb>срдці|іхъ
1739,<wb>вашіхъ
526,<wb>чьто
161,<wb>естъ
4131,<wb>оудобѣе
1775,<wb>решті
1641 287 2151,<wb>осла|бе|ноумоу
2818 145 304,<wb>отпоу|шта|ѭтъ
323,<wb>ті
70,<wb>сѧ
2812,<wb>грѣсі
462,<wb>твоі
178,<wb>лі
1775,<wb>решті
2242,<wb>въстані
39,<wb>і
2485,<wb>ході
208,<wb>нъ
105,<wb>да
6723,<wb>оувѣсте
99,<wb>ѣко
458 97,<wb>вла|стъ
584,<wb>іматъ
423,<wb>снъ
7425,<wb>члчъ
68,<wb>на
734,<wb>земі
2818 3640,<wb>отпоу|штаті
1806,<wb>грѣхъі
141,<wb>рече
71,<wb>же
4981,<wb>ослабленоумоу
356,<wb>тебѣ
284,<wb>глѭ
2242,<wb>въстані
39,<wb>і
4498,<wb>възьмі
5302,<wb>ложе
347,<wb>твое
39,<wb>і
1030,<wb>іді
56,<wb>въ
729,<wb>домъ
424,<wb>своі
39,<wb>і
600,<wb>абіе
421 18,<wb>въста|в
396,<wb>прѣдъ
1047,<wb>німі
160 194,<wb>въз|ѧтъ
68,<wb>на
3697,<wb>немъже
4661,<wb>лежааше
39,<wb>і
452,<wb>іде
56,<wb>въ
729,<wb>домъ
424,<wb>своі
2652,<wb>славѧ
422,<wb>ба
39,<wb>і
3891,<wb>оужасъ
1169 32,<wb>пріѧ|т
3337,<wb>въсѧ
39,<wb>і
5854 216,<wb>славлѣ|ахѫ
422,<wb>ба
39,<wb>і
1882 3018,<wb>іспль|нішѧ
70,<wb>сѧ
3179,<wb>страхомъ
39,<wb>і
997,<wb>глаахѫ
99,<wb>ѣко
2219,<wb>відѣхомъ
4429 1027,<wb>дівь|наа
713 23,<wb>дьне|с
820,<wb>ізіде
331,<wb>ісъ
39,<wb>і
2855,<wb>оузьрѣ
1668 96,<wb>мъіта|рѣ
3473,<wb>іменемъ
639 35 6197,<wb>ле|у|гіѭ
1041 604,<wb>сѣдѧ|штъ
68,<wb>на
478 7961,<wb>мъі|тьніці
39,<wb>і
141,<wb>рече
144,<wb>емоу
1030,<wb>іді
67,<wb>по
437,<wb>мьнѣ
39,<wb>і
405 3639,<wb>оста|влъ
913,<wb>въсѣ
1343,<wb>въставъ
56,<wb>въ
1465,<wb>слѣдъ
135,<wb>его
452,<wb>іде
39,<wb>і
261,<wb>сътворі
1373 15 34 200,<wb>чрѣ|ж|д|ніе
5567,<wb>веліе
639 18 3320,<wb>ле|в|гіі
144,<wb>емоу
56,<wb>въ
756,<wb>домоу
2245,<wb>своемъ
39,<wb>і
165,<wb>бѣ
956,<wb>народъ
4928,<wb>многь
4758,<wb>мъітарь
2863,<wb>інѣхъ
227,<wb>іже
812,<wb>бѣахѫ
190,<wb>сь
528,<wb>німъ
2960 91,<wb>възлежѧ|ште
39,<wb>і
1183 461 3167,<wb>рь|пъ|таахѫ
6649,<wb>кьніжьніці
39,<wb>і
1325,<wb>фарісеі
150,<wb>къ
936,<wb>оученікомъ
135,<wb>его
1440,<wb>глште
67,<wb>по
526,<wb>чьто
190,<wb>сь
3873,<wb>мъітарі
39,<wb>і
5905,<wb>грѣшънікъі
3134,<wb>ѣстъ
39,<wb>і
7114,<wb>піетъ
579,<wb>отъвѣштавъ
331,<wb>ісъ
141,<wb>рече
3381,<wb>ім
62,<wb>не
5540,<wb>трѣбоуѭтъ
7061,<wb>съдравіі
460 266,<wb>вра|ча
208,<wb>нъ
2013 642,<wb>болѧ|штіі
62,<wb>не
1743,<wb>прідъ
5330 103 43,<wb>прізь|ва|тъ
2112 409,<wb>праведъ|нікъ
208,<wb>нъ
5008,<wb>грѣшьнікъі
56,<wb>въ
3892,<wb>покааніе
3347,<wb>хождааше
331,<wb>ісъ
56,<wb>въ
3292,<wb>сѫботъ
5212,<wb>скозѣ
2964 2905,<wb>сѣа|ніа
39,<wb>і
5027 3903,<wb>въстръ|заахѫ
559,<wb>оученіці
135,<wb>его
5886,<wb>класъі
39,<wb>і
5124,<wb>ѣдѣахѫ
399 61 393,<wb>істі|ра|ѭште
2566,<wb>рѫкама
3551,<wb>етері
71,<wb>же
221,<wb>от
1325,<wb>фарісеі
510,<wb>рѣшѧ
210,<wb>імъ
526,<wb>чьто
1451,<wb>творіте
538,<wb>егоже
62,<wb>не
1862,<wb>достоітъ
1234,<wb>творіті
81,<wb>вь
2591,<wb>сѫботѫ
39,<wb>і
579,<wb>отъвѣштавъ
331,<wb>ісъ
141,<wb>рече
122,<wb>ні
178,<wb>лі
387,<wb>сего
939,<wb>есте
4936,<wb>чьлі
295,<wb>еже
261,<wb>сътворі
5706,<wb>ддъ
317,<wb>егда
853 3280,<wb>възь|алка
645,<wb>самъ
39,<wb>і
227,<wb>іже
75,<wb>съ
528,<wb>німъ
812,<wb>бѣахѫ
376,<wb>како
56,<wb>въ
729,<wb>домъ
776,<wb>бжіі
39,<wb>і
2287,<wb>хлѣбъі
396 4405,<wb>прѣдъ|ложеніѣ
1729,<wb>пріемъ
3134,<wb>ѣстъ
39,<wb>і
520,<wb>дастъ
39,<wb>і
3545,<wb>сѫштіімъ
190,<wb>сь
730,<wb>німь
2657,<wb>іхъже
62,<wb>не
156 802,<wb>до|ѣше
1324,<wb>ѣсті
2172,<wb>тъкъмо
7874,<wb>іереомъ
249 118 14,<wb>еді|нѣ|м
39,<wb>і
892,<wb>глааше
210,<wb>імъ
99,<wb>ѣко
459,<wb>гь
161,<wb>естъ
423,<wb>снъ
7425,<wb>члчъ
5100,<wb>сѫботѣ
798,<wb>бъіс
71,<wb>же
56,<wb>въ
4211,<wb>дроугѫѭ
2591,<wb>сѫботѫ
2756,<wb>въніті
144,<wb>емоу
56,<wb>въ
4083 91,<wb>сьньмі|ште
39,<wb>і
3656,<wb>оучіті
39,<wb>і
165,<wb>бѣ
109 569,<wb>ч|кь
390,<wb>тоу
39,<wb>і
1357,<wb>рѫка
144,<wb>емоу
165,<wb>бѣ
705 886,<wb>дес|наѣ
762 432,<wb>соу|ха
39,<wb>і
7985 216,<wb>назіра|ахѫ
39,<wb>і
6649,<wb>кьніжьніці
201,<wb>аште
56,<wb>въ
2591,<wb>сѫботѫ
6972,<wb>іцѣлітъ
39,<wb>і
105,<wb>да
4570 2562,<wb>обрѧ|штѫтъ
3750,<wb>рѣчь
68,<wb>на
484,<wb>нь
366,<wb>онъ
71,<wb>же
2401,<wb>вѣдѣаше
67 55,<wb>по|мъ
38 2 2215,<wb>|ш|леніѣ
299,<wb>іхъ
39,<wb>і
141,<wb>рече
7304 111,<wb>мѫже|ві
4185,<wb>імѫштоумоу
5525 3,<wb>соухѫ|ѭ
1085,<wb>рѫкѫ
1343,<wb>въставъ
39,<wb>і
7597,<wb>стані
67,<wb>по
1549,<wb>срѣдѣ
366,<wb>онъ
71,<wb>же
1343,<wb>въставъ
305,<wb>ста
141,<wb>рече
71,<wb>же
331,<wb>ісъ
468,<wb>кь
528,<wb>німъ
6660,<wb>въпрошѫ
237,<wb>въі
201,<wb>аште
589 4747,<wb>досто|стоітъ
56,<wb>въ
3292,<wb>сѫботъ
640,<wb>добро
1064,<wb>сътворіті
178,<wb>лі
2754,<wb>зьло
2579 52,<wb>сьтворі|ті
911,<wb>дшѫ
5197,<wb>спсті
178,<wb>лі
3494,<wb>погоубіті
39,<wb>і
2880,<wb>възьрѣвъ
68,<wb>на
3337,<wb>въсѧ
141,<wb>рече
144,<wb>емоу
7871,<wb>простьрі
1085,<wb>рѫкѫ
1071,<wb>твоѭ
366,<wb>онъ
71,<wb>же
2530 1557,<wb>прость|рѣтъ
39,<wb>і
3130,<wb>оутвръді
70,<wb>сѧ
1357,<wb>рѫка
144,<wb>емоу
6538,<wb>съдрава
99,<wb>ѣко
39,<wb>і
3279,<wb>дроугаѣ
955,<wb>прідѫ
1362,<wb>народі
221,<wb>от
1092,<wb>оученікъ
6753,<wb>ісвъ
39,<wb>і
2588,<wb>множьство
2087,<wb>многъ
3877,<wb>людеі
221,<wb>от
960 24,<wb>въсе|ѧ
4895,<wb>іюдеѧ
7113,<wb>іерлма
39,<wb>і
635 636,<wb>помо|ріѣ
4894 125 384,<wb>ту|рь|ска
39,<wb>і
3932 4625,<wb>сідо|ньска
305,<wb>ста
107,<wb>іс
68,<wb>на
1122,<wb>мѣстѣ
4245 118,<wb>равь|нѣ
39,<wb>і
956,<wb>народъ
4552,<wb>оученікь
135,<wb>его
39,<wb>і
2588,<wb>множьство
693,<wb>много
3877,<wb>людеі
84,<wb>отъ
4686,<wb>вьсеѧ
4895,<wb>іюдеѧ
7113,<wb>іерлма
39,<wb>і
635 636,<wb>помо|ріѣ
4894 125 384,<wb>ту|рь|ска
39,<wb>і
3932 4625,<wb>сідо|ньска
305,<wb>ста
331,<wb>ісъ
68,<wb>на
1122,<wb>мѣстѣ
3026 118,<wb>рав|нѣ
305,<wb>ста
107,<wb>іс
68,<wb>на
353 23,<wb>мѣ|с
227,<wb>іже
955,<wb>прідѫ
7506,<wb>послоушатъ
135,<wb>его
39,<wb>і
6972,<wb>іцѣлітъ
70,<wb>сѧ
84,<wb>отъ
1260 1055,<wb>недѫ|гь
809,<wb>своіхъ
39,<wb>і
3823 642,<wb>страждѫ|штіі
221,<wb>от
1260 1055,<wb>недѫ|гь
809,<wb>своіхъ
370 1650,<wb>цѣ|лѣахѫ
70,<wb>сѧ
227,<wb>іже
2594,<wb>прідошѧ
7506,<wb>послоушатъ
135,<wb>его
39,<wb>і
6972,<wb>іцѣлітъ
70,<wb>сѧ
84,<wb>отъ
1260 1055,<wb>недѫ|гь
424 9,<wb>своі|х
39,<wb>і
3823 642,<wb>страждѫ|штіі
84,<wb>отъ
768,<wb>дхъ
4320,<wb>нечістъ
370 1650,<wb>цѣ|лѣахѫ
70,<wb>сѧ
39,<wb>і
6877,<wb>въсь
956,<wb>народъ
3368,<wb>іскааше
3756 52,<wb>прікаса|ті
70,<wb>сѧ
2648,<wb>емъ
99,<wb>ѣко
1850,<wb>сіла
168,<wb>із
513,<wb>него
4155,<wb>ісхождааше
39,<wb>і
1004 986,<wb>іцѣ|лѣаше
2415,<wb>всѧ
39,<wb>і
1285,<wb>весь
956,<wb>народъ
3368,<wb>іскааше
3756 52,<wb>прікаса|ті
70,<wb>сѧ
2648,<wb>емъ
99,<wb>ѣко
1850,<wb>сіла
168,<wb>із
513,<wb>него
4155,<wb>ісхождааше
39,<wb>і
1004 33 104 2271,<wb>іцѣ|ѣ|лѣ|вааше
618,<wb>вьсѧ
39,<wb>і
157,<wb>тъ
1380 34,<wb>възве|д
531,<wb>очі
424,<wb>своі
68,<wb>на
1222,<wb>оученікъі
599,<wb>своѧ
892,<wb>глааше
1888,<wb>блажені
4003,<wb>ніштіі
4528,<wb>дхомъ
99,<wb>ѣко
709,<wb>ваше
161,<wb>естъ
2660,<wb>црство
5052 465,<wb>нбсъ|ное
1888,<wb>блажені
5824 642,<wb>алчѫ|штіі
457,<wb>нъінѣ
99,<wb>ѣко
323,<wb>ті
5356,<wb>насъітѧтъ
70,<wb>сѧ
1888,<wb>блажені
2299 642,<wb>плачѫ|штіі
70,<wb>сѧ
6007,<wb>ннѣ
99,<wb>ѣко
321 181 661,<wb>въс|мѣ|ете
70,<wb>сѧ
1888,<wb>блажені
1215,<wb>бѫдете
317,<wb>егда
3236 275 32,<wb>възненаві|дѧ|т
237,<wb>въі
4934,<wb>члці
39,<wb>і
317,<wb>егда
3774 380 32,<wb>разлѫ|чѧ|т
237,<wb>въі
39,<wb>і
164 126 6187,<wb>про|не|сѫтъ
466,<wb>імѧ
709,<wb>ваше
99,<wb>ѣко
2754,<wb>зьло
732,<wb>сна
345 7394,<wb>чл|чѣ
368,<wb>раді
2279 410,<wb>въздрадоу|іте
70,<wb>сѧ
56,<wb>въ
157,<wb>тъ
869,<wb>день
39,<wb>і
1648 1044 410,<wb>възі|гра|іте
121,<wb>се
3923 86,<wb>мьз|да
152 2,<wb>ва|ш
1022,<wb>многа
68,<wb>на
1525 9,<wb>нбс|х
68,<wb>на
6417 76,<wb>небс|хъ
308,<wb>ѣкоже
1568,<wb>хоштете
105,<wb>да
1618,<wb>творѧтъ
260,<wb>вамъ
4934,<wb>члці
39,<wb>і
237,<wb>въі
1451,<wb>творіте
210,<wb>імъ
964,<wb>такожде
39,<wb>і
201,<wb>аште
2635,<wb>любіте
6068,<wb>любѧштѧѧ
237,<wb>въі
2459,<wb>каѣ
260,<wb>вамъ
3684,<wb>хвала
161,<wb>естъ
1566,<wb>ібо
39,<wb>і
6069,<wb>грѣшъніці
6068,<wb>любѧштѧѧ
6653,<wb>любѧтъ
39,<wb>і
201,<wb>аште
371 840 54,<wb>благо|творі|те
371 4880 642 14,<wb>благо|творѧ|штіі|м
260,<wb>вамъ
2459,<wb>каѣ
260,<wb>вамъ
3684,<wb>хвала
161,<wb>естъ
1566,<wb>ібо
39,<wb>і
4115,<wb>грѣшьніці
2636,<wb>тожде
1618,<wb>творѧтъ
39,<wb>і
201,<wb>аште
56,<wb>въ
171 389,<wb>за|емъ
105 661,<wb>да|ете
221,<wb>от
7982 48,<wb>ніх|же
567 661,<wb>ча|ете
56,<wb>въ
637 95 686,<wb>сп|рі|ѧті
2459,<wb>каѣ
260,<wb>вамъ
3684,<wb>хвала
161,<wb>естъ
1566,<wb>ібо
39,<wb>і
6069,<wb>грѣшъніці
1824 1426,<wb>грѣшъ|нікомъ
56,<wb>въ
171 389,<wb>за|емъ
105 304,<wb>да|ѭтъ
105,<wb>да
6395 2039,<wb>въспріі|мѫтъ
120 3155,<wb>ра|въно
1245,<wb>обаче
2635,<wb>любіте
2235,<wb>врагъі
2429,<wb>вашѧ
39,<wb>і
640,<wb>добро
1451,<wb>творіте
210,<wb>імъ
39,<wb>і
56,<wb>въ
6571,<wb>заімъ
2079,<wb>дадіте
1330,<wb>нічесоже
62,<wb>не
5616,<wb>чаѭште
39,<wb>і
362,<wb>бѫдетъ
6652,<wb>мъзда
1615,<wb>ваша
1022,<wb>многа
39,<wb>і
1215,<wb>бѫдете
3673,<wb>снове
4735 2148,<wb>въішъ|нѣаго
99,<wb>ѣко
157,<wb>тъ
2395,<wb>благъ
161,<wb>естъ
68,<wb>на
6840 4260 58,<wb>невъз|бла|го
250 6011,<wb>дѣ|тънъіѧ
39,<wb>і
6003 24,<wb>зьлъі|ѧ
2679,<wb>бѫдѣте
3936 5332 89,<wb>мл|ср|ді
99,<wb>ѣко
39,<wb>і
749,<wb>оць
152 2,<wb>ва|ш
3936 5332 113,<wb>мл|ср|дъ
161,<wb>естъ
1776,<wb>въніде
331,<wb>ісъ
56,<wb>въ
6409 2311 14,<wb>капер|наоу|м
190 133 1935,<wb>сь|ть|нікоу
71,<wb>же
50 79 191,<wb>е|де|роу
4820,<wb>рабь
2343,<wb>зьлѣ
2013,<wb>болѧ
3185 177,<wb>оуміра|аше
227,<wb>іже
165,<wb>бѣ
144,<wb>емоу
354 6681,<wb>чь|стенъ
990,<wb>слъішавъ
71,<wb>же
47,<wb>о
2412,<wb>ісѣ
456,<wb>посъла
468,<wb>кь
398,<wb>немоу
1666 532,<wb>стар|цѧ
279 34 1185,<wb>лю|д|скъіѧ
1499,<wb>молѧ
39,<wb>і
105,<wb>да
872,<wb>прішедъ
6815,<wb>спсетъ
1322,<wb>раба
135,<wb>его
609,<wb>оні
71,<wb>же
2133,<wb>прішедъше
468,<wb>кь
1449,<wb>ісві
51 1650,<wb>м|лѣахѫ
39,<wb>і
617 604 85,<wb>ть|штъ|но
1440,<wb>глште
144,<wb>емоу
99,<wb>ѣко
577 16 98,<wb>сто|і|нъ
161,<wb>естъ
295,<wb>еже
201,<wb>аште
5790,<wb>дасі
144,<wb>емоу
2727,<wb>любітъ
112,<wb>бо
1765,<wb>ѧзъікъ
2138,<wb>нашь
39,<wb>і
4083 91,<wb>сьньмі|ште
617,<wb>ть
190 7402,<wb>сь|зьда
489,<wb>намъ
331,<wb>ісъ
71,<wb>же
1619,<wb>ідѣаше
190,<wb>сь
1047,<wb>німі
836,<wb>еште
71,<wb>же
144,<wb>емоу
6537,<wb>ідѫштоу
190,<wb>сь
1047,<wb>німі
62,<wb>не
2037,<wb>далече
1610,<wb>сѫштоу
221,<wb>от
756,<wb>домоу
456,<wb>посъла
468,<wb>кь
398,<wb>немоу
190 3605,<wb>сь|тьнікъ
1096 58,<wb>дроуга|го
441,<wb>глѧ
144,<wb>емоу
300,<wb>гі
62,<wb>не
2109 124,<wb>дві|жі
70,<wb>сѧ
2134,<wb>нѣсмъ
112,<wb>бо
1710,<wb>достоінъ
105,<wb>да
826,<wb>подъ
7232,<wb>кровъ
329,<wb>моі
1776 116,<wb>въніде|ші
1347,<wb>тѣмь
71,<wb>же
122,<wb>ні
995,<wb>себе
682 102,<wb>достоі|на
3165,<wb>сътворіхъ
1382,<wb>пріті
468,<wb>кь
356,<wb>тебѣ
208 5644,<wb>нъ|рьці
4732,<wb>словомь
2572 255,<wb>іцѣлѣ|етъ
806 569,<wb>отро|кь
329,<wb>моі
695,<wb>азь
112,<wb>бо
1300,<wb>члкъ
568,<wb>есмъ
826,<wb>подъ
458 242 74,<wb>вла|сте|лі
571 1804,<wb>оучі|ненъ
39,<wb>і
3181,<wb>імѣѧ
826,<wb>подъ
1391,<wb>собоѭ
5240,<wb>воінъі
39,<wb>і
284,<wb>глѭ
1135,<wb>семоу
1030,<wb>іді
39,<wb>і
1861,<wb>ідетъ
39,<wb>і
4318,<wb>дроугоумоу
2870,<wb>пріді
39,<wb>і
416 32,<wb>пріде|т
39,<wb>і
2494,<wb>рабоу
1787,<wb>моемоу
2579,<wb>сьтворі
121,<wb>се
39,<wb>і
1675,<wb>сътворітъ
990,<wb>слъішавъ
71,<wb>же
121,<wb>се
331,<wb>ісъ
6313,<wb>чоуді
70,<wb>сѧ
144,<wb>емоу
39,<wb>і
5630,<wb>обраштъ
70,<wb>сѧ
902 270 4609,<wb>послѣ|доу|ѭштоумоу
2168,<wb>народоу
141,<wb>рече
681,<wb>амін
284,<wb>глѭ
2532,<wb>вам
122,<wb>ні
56,<wb>въ
3137,<wb>ізлі
7262,<wb>толікъі
994,<wb>вѣръі
1501,<wb>обрѣтъ
39,<wb>і
777 604 82,<wb>възвра|штъ|ше
70,<wb>сѧ
56,<wb>въ
729,<wb>домъ
3319 276,<wb>посьла|ніі
2825,<wb>обрѣтѫ
2013 1154,<wb>болѧ|штааго
1322,<wb>раба
2572 816,<wb>іцѣлѣ|въша
1619,<wb>ідѣаше
331,<wb>ісъ
56,<wb>въ
698,<wb>градъ
2770,<wb>наріцаемъі
2398 98,<wb>наі|нъ
39,<wb>і
190,<wb>сь
528,<wb>німъ
3904,<wb>ідѣахѫ
559,<wb>оученіці
135,<wb>его
39,<wb>і
956,<wb>народъ
2371,<wb>мъногъ
99,<wb>ѣко
71,<wb>же
6540,<wb>прібліжішѧ
70,<wb>сѧ
468,<wb>кь
460 115 14,<wb>вра|то|м
926,<wb>града
39,<wb>і
121,<wb>се
3481 3158,<wb>ізно|шаахѫ
4437 21 158,<wb>оуме|р|ша
732,<wb>сна
814 380 86,<wb>едіно|чѧ|да
7375,<wb>мтрі
1519,<wb>своеі
39,<wb>і
373,<wb>та
165,<wb>бѣ
7062,<wb>въдова
39,<wb>і
956,<wb>народъ
221,<wb>от
926,<wb>града
165,<wb>бѣ
2899 1055,<wb>мьно|гь
190,<wb>сь
2996,<wb>неѭ
39,<wb>і
649,<wb>відѣвъ
483,<wb>ѭ
459,<wb>гь
3936 5332 1212,<wb>мл|ср|дова
483,<wb>ѭ
39,<wb>і
141,<wb>рече
561,<wb>еі
62,<wb>не
6013 281,<wb>плачі|сѧ
39,<wb>і
3767,<wb>прістѫпль
3000,<wb>коснѫ
70,<wb>сѧ
56,<wb>въ
1677,<wb>одръ
2468 718,<wb>носѧ|штеі
71,<wb>же
4487,<wb>сташѧ
39,<wb>і
141,<wb>рече
1679 82,<wb>юно|ше
356,<wb>тебѣ
284,<wb>глѭ
2242,<wb>въстані
39,<wb>і
3240,<wb>сѣде
6988,<wb>мрътвъіі
39,<wb>і
904 32,<wb>начѧ|т
1375,<wb>глаті
1505,<wb>пріѧтъ
71,<wb>же
348 9,<wb>стра|х
618,<wb>вьсѧ
39,<wb>і
5854 216,<wb>славлѣ|ахѫ
422,<wb>ба
1440,<wb>глште
99,<wb>ѣко
4644,<wb>прркъ
2844,<wb>веліі
421,<wb>въста
56,<wb>въ
759,<wb>насъ
39,<wb>і
99,<wb>ѣко
3896,<wb>посѣті
459,<wb>гь
443,<wb>бъ
2799,<wb>людіі
809,<wb>своіхъ
1895,<wb>молѣаше
50 79 101,<wb>е|де|ръ
1325,<wb>фарісеі
566,<wb>іса
105,<wb>да
453,<wb>бі
78 137,<wb>ѣ|лъ
190,<wb>сь
730,<wb>німь
39,<wb>і
1952,<wb>въшедъ
56,<wb>въ
729,<wb>домъ
1184 12 18,<wb>фарісе|о|в
5823,<wb>възлеже
1895,<wb>молѣаше
731 21,<wb>ете|р
39,<wb>і
121,<wb>се
847,<wb>жена
56,<wb>въ
1565,<wb>градѣ
494,<wb>ѣже
165,<wb>бѣ
1824 1678,<wb>грѣшъ|ніца
4409,<wb>відѣвъші
39,<wb>і
99,<wb>ѣко
4629 1308,<wb>възле|жітъ
56,<wb>въ
6323,<wb>храмінѣ
1184 5640,<wb>фарісе|овѣ
924 349 116,<wb>пріне|сь|ші
6297 103 1365,<wb>ала|ва|стръ
975,<wb>міра
39,<wb>і
305 794,<wb>ста|въші
190 230 89,<wb>сь|за|ді
90,<wb>прі
2362,<wb>ногоу
135,<wb>его
627 380 166,<wb>пла|чѧ|шті
70,<wb>сѧ
1194,<wb>начѧтъ
3100,<wb>слъзамі
47 143 134 52,<wb>о|ма|ка|ті
1052,<wb>нозѣ
135,<wb>его
39,<wb>і
3825,<wb>власъі
1800,<wb>главъі
1276,<wb>своеѧ
863 5267,<wb>оті|рааше
39,<wb>і
3973 177,<wb>облобъіза|аше
1052,<wb>нозѣ
135,<wb>его
39,<wb>і
241 4407,<wb>ма|зааше
2116 1943,<wb>му|ромъ
649,<wb>відѣвъ
71,<wb>же
1325,<wb>фарісеі
4071 219,<wb>зьва|въі
135,<wb>его
141,<wb>рече
56,<wb>въ
436,<wb>себѣ
441,<wb>глѧ
190,<wb>сь
201,<wb>аште
453,<wb>бі
2064,<wb>бъілъ
4644,<wb>прркъ
5880,<wb>вѣдѣлъ
453,<wb>бі
222,<wb>оубо
4440,<wb>кьто
39,<wb>і
376 103,<wb>како|ва
847,<wb>жена
494,<wb>ѣже
3756 255,<wb>прікаса|етъ
70,<wb>сѧ
2648,<wb>емъ
99,<wb>ѣко
1023 1678,<wb>грѣшь|ніца
161,<wb>естъ
579,<wb>отъвѣштавъ
71,<wb>же
331,<wb>ісъ
141,<wb>рече
144,<wb>емоу
3273,<wb>сімоне
1126,<wb>імамъ
323,<wb>ті
4997,<wb>нѣчто
1775,<wb>решті
366,<wb>онъ
71,<wb>же
141,<wb>рече
1302,<wb>оучітелю
1900,<wb>рьці
971,<wb>дъва
3633 875,<wb>длъжь|ніка
5480,<wb>бѣсте
6797 172 86 92 673,<wb>заі|мо|да|въ|цоу
5844,<wb>етероу
438,<wb>едінъ
4738,<wb>длъженъ
165,<wb>бѣ
7355,<wb>пѧтіѭ
190 43,<wb>сь|тъ
6298 125,<wb>діна|рь
77,<wb>а
901,<wb>дроугъі
7355,<wb>пѧтіѭ
1761,<wb>десѧтъ
62,<wb>не
3462 143,<wb>імѫште|ма
71,<wb>же
268,<wb>іма
1316,<wb>чесо
7878,<wb>въдаті
2868,<wb>обѣма
